4 0 4	VVBC....BCDEAABCDEHJ..F.HJNNF..KK.F. 
9 6 3	...VV...BCD.AABCD..JBCFEHJNNFEH.KKF. V97 B99 C99 E98 H99 K99 
9 5 4	VV.CD...BCD.AABCFEHJB.FEHJNNF..KK... B99 D99 E97 F99 
9 6 3	VVB.DE..BCDEAABCF.H..CF.HJNNF..J.KK. C99 D99 E99 J99 F99 K98 
9 6 3	VV.CD...BCD.AABCF.H.B.FEHJNNFE.J.KK. B99 D99 E98 J99 F99 K98 
9 6 3	.VVCD...BCD.AABC.EHJB.FEHJNNF...KKF. V99 B99 D99 E97 K99 
9 6 3	VVB.DE..BCDEAABCF.H..CF.HJNNF..J..KK C99 D99 E99 J99 F99 K97 
9 5 4	VVB.D...BCDEAABCFE.J.CF.HJNNF.H...KK C99 D99 H99 F99 K97 
9 5 4	...VV...BCDEAABCDEHJBCF.HJNNF.KK..F. V97 B99 C99 K99 
9 6 3	..VV....BCD.AABCD.HJBCFEHJNNFE..KKF. V98 B99 C99 E98 K97 
9 6 3	VV.CD...BCD.AABC.E..B.FEHJNNF.HJKKF. B99 D99 E99 H99 J99 K99 
9 6 3	VV.CD...BCD.AABCF..JB.FEHJNNFEH.KK.. B99 D99 E98 H99 F99 K99 
9 6 3	.VVC.E..BCDEAABCD...B.F.HJNNF.HJKKF. V99 B99 E99 H99 J99 K99 
9 5 4	VV......BCDEAABCDEHJBCF.HJNNF...KKF. B99 C99 H98 K99 
9 6 3	....VV..BCD.AABCD..JBCF.HJNNFEH.KKFE V96 B99 C99 E97 H99 K99 
9 5 4	VV......BCDEAABCDEHJBCF.HJNNF.KK..F. B99 C99 E96 K99 
9 5 4	VVBCD...BCDEAABCFE.J..F.HJNNF.H..KK. D99 H99 F99 K96 
9 6 3	VVBCD...BCD.AABCF.....FEHJNNFEHJ..KK D99 E98 H99 J99 F99 K97 
9 5 4	VVB.D...BCD.AABCFE.J.CFEHJNNF.HKK... C99 D99 E99 H99 F99 
9 6 3	.VVCD...BCD.AABC.EHJB.FEHJNNF.KK..F. V99 B99 D99 E97 K99 
9 6 3	VVBCD...BCD.AABCF.....F.HJNNFEHJ.KKE D99 E97 H99 J99 F99 K98 
9 6 3	VV.CD...BCD.AABCF..JB.FEHJNNFEH..KK. B99 D99 E98 H99 F99 K98 
9 6 3	VVB.DE..BCDEAABCF.H..CF.HJNNF..JKK.. C99 D99 E99 J99 F99 K99 
9 6 3	VVB.D...BCD.AABCF.H..CF.HJNNFE.J.KKE C99 D99 E97 J99 F99 K98 
9 6 3	..VVD...BCDEAABC.EH.BCF.HJNNF..JKKF. V98 B99 C99 D99 J99 K99 
9 6 3	VVBCD...BCD.AABCF.....FEHJNNFEHJ.KK. D99 E98 H99 J99 F99 K98 
9 6 3	VV......BCD.AABCD...BCF.HJNNFEHJKKFE B99 C99 E97 H99 J99 K99 
9 5 4	VV..D...BCDEAABCFEHJBCF.HJNNF...KK.. B99 C99 D99 F99 K99 
9 6 3	.VVCD...BCD.AABCF.HJB.FEHJNNFE...KK. V99 B99 D99 E98 F99 K98 
9 6 3	.VV..E..BCDEAABCD.H.BCF.HJNNF..JKKF. V99 B99 C99 E99 J99 K99 
9 5 4	.VVCD...BCDEAABCFEHJB.F.HJNNF.....KK V99 B99 D99 F99 K97 
9 6 3	VVB.D...BCD.AABCF.H..CFEHJNNFE.J.KK. C99 D99 E98 J99 F99 K98 
9 6 3	.VVC....BCD.AABCD...B.FEHJNNFEHJKKF. V99 B99 E98 H99 J99 K99 
9 6 3	VVB.D...BCD.AABCF..J.CFEHJNNFEH..KK. C99 D99 E98 H99 F99 K98 
9 6 3	VV..D...BCD.AABCF.HJBCFEHJNNFE...KK. B99 C99 D99 E98 F99 K98 
9 6 3	...VVE..BCDEAABCD.H.BCF.HJNNF..JKKF. V97 B99 C99 E99 J99 K99 
9 6 3	VVB.D...BCD.AABCF..J.CF.HJNNFEH..KKE C99 D99 E97 H99 F99 K98 
9 6 3	VV.CD...BCD.AABCF..JB.F.HJNNFEH..KKE B99 D99 E97 H99 F99 K98 
9 5 4	VVB.D...BCDEAABCFEHJ.CF.HJNNF...KK.. C99 D99 F99 K97 
9 5 4	VV.CD...BCDEAABCFEH.B.F.HJNNF..J..KK B99 D99 J99 F99 K97 
9 6 3	VV.CD...BCD.AABCF.H.B.FEHJNNFE.J..KK B99 D99 E98 J99 F99 K97 
9 6 3	..VV....BCD.AABCD.H.BCF.HJNNFE.JKKFE V98 B99 C99 E97 J99 K99 
9 5 4	VV..D...BCDEAABCFEHJBCF.HJNNF.....KK B99 C99 D99 F99 K97 
9 6 3	..VV....BCD.AABCD..JBCF.HJNNFEH.KKFE V98 B99 C99 E97 H99 K99 
9 5 4	VVB.D...BCD.AABCFEHJ.CFEHJNNF.KK.... C99 D99 E99 F99 K99 
9 6 3	...VV...BCD.AABCD.HJBCFEHJNNFE..KKF. V97 B99 C99 E96 K99 
9 5 4	VV..D...BCDEAABCFEHJBCF.HJNNF....KK. B99 C99 D99 F99 K98 
9 6 3	...VV...BCD.AABCD..JBCF.HJNNFEH.KKFE V97 B99 C99 E97 H99 K99 
9 6 3	..BVV...BCD.AABCD.HJ.CF.HJNNFE..KKFE V97 B98 C99 E97 K99 
9 6 3	.VV.....BCD.AABCD.HJBCF.HJNNFE..KKFE V95 B99 C99 E97 K99 
9 5 4	.VVCD...BCDEAABCFEHJB.F.HJNNF...KK.. V99 B99 D99 F99 K99 
9 6 3	VV......BCD.AABCD...BCFEHJNNFEHJKKF. B99 C99 E98 H99 J99 K99 
9 5 4	VV.CD...BCD.AABCFEHJB.FEHJNNF....KK. B99 D99 E99 F99 K98 
9 5 4	VV.CD...BCDEAABCFEH.B.F.HJNNF..J.KK. B99 D99 J99 F99 K98 
9 5 4	.VVCD...BCD.AABCFEHJB.FEHJNNF..KK... V99 B99 D99 E99 F99 
9 5 4	VVBCD...BCDEAABCFE....F.HJNNF.HJ..KK D99 H99 J99 F99 K97 
9 6 3	VV.CDE..BCDEAABCF.H.B.F.HJNNF..J.KK. B99 D99 E99 J99 F99 K98 
9 5 4	VVBCD...BCD.AABCFE.J..FEHJNNF.H...KK D99 E99 H99 F99 K97 
9 5 4	VV.CD...BCD.AABCFE.JB.FEHJNNF.HKK... B99 D99 E99 H99 F99 
9 6 3	VVBCDE..BCDEAABCF.....F.HJNNF.HJKK.. D99 E99 H99 J99 F99 K99 
9 5 4	VV..D...BCDEAABCFE.JBCF.HJNNF.HKK... B99 C99 D99 H99 F99 
9 6 3	VVB.DE..BCDEAABCF..J.CF.HJNNF.H..KK. C99 D99 E99 H99 F99 K98 
9 6 3	...CVV..BCD.AABCD..JB.F.HJNNFEHKK.FE V96 B99 C98 E97 H99 
9 6 3	VV.CDE..BCDEAABCF..JB.F.HJNNF.H..KK. B99 D99 E99 H99 F99 K98 
9 5 4	VV.CD...BCD.AABCFEHJB.FEHJNNF.....KK B99 D99 E99 F99 K97 
9 5 4	..VV....BCDEAABCDEHJBCF.HJNNF...KKF. V98 B99 C99 K99 
9 6 3	.VV.D...BCD.AABC.EHJBCFEHJNNF.KK..F. V99 B99 C99 D99 E99 K99 
9 6 3	VV..DE..BCDEAABCF.HJBCF.HJNNF.....KK B99 C99 D99 E99 F99 K97 
9 6 3	.VVC....BCD.AABCD...B.F.HJNNFEHJKKFE V99 B99 E97 H99 J99 K99 
9 5 4	.VVC....BCD.AABCDEH.B.FEHJNNF..JKKF. V99 B99 E99 J99 K99 
9 7 2	.VV.D...BCD.AABC..HJBCFEHJNNFEKK..F. V99 B99 C99 D99 E98 K99 
9 5 4	VV......BCD.AABCDEHJBCFEHJNNF.KK..F. B99 C99 E97 K99 
9 6 3	....VV..BCD.AABCD.HJBCFEHJNNFE..KKF. V96 B99 C99 E96 K99 
9 5 4	.VV.....BCD.AABCDEHJBCFEHJNNF.KK..F. V99 B99 C99 E99 K99 
9 6 3	..VV....BCD.AABCD..JBCFEHJNNFEH.KKF. V98 B99 C99 E98 H99 K99 
9 5 4	.VV.....BCDEAABCDEH.BCF.HJNNF..JKKF. V99 B99 C99 J99 K99 
9 5 4	VV.CD...BCDEAABCFE.JB.F.HJNNF.H..KK. B99 D99 H99 F99 K98 
9 7 2	.VV.D...BCD.AABC...JBCFEHJNNFEHKK.F. V99 B99 C99 D99 E98 H99 
9 6 3	.VVCD...BCD.AABCF..JB.FEHJNNFEHKK... V99 B99 D99 E98 H99 F99 
9 6 3	VVB.DE..BCDEAABCF..J.CF.HJNNF.H...KK C99 D99 E99 H99 F99 K97 
9 6 3	VVBCDE..BCDEAABCF.HJ..F.HJNNF.KK.... B98 D99 E99 F99 K99 
9 6 3	VV.CDE..BCDEAABCF..JB.F.HJNNF.H...KK B99 D99 E99 H99 F99 K97 
9 7 2	.VV.DE..BCDEAABC..H.BCF.HJNNF..JKKF. V99 B99 C99 D99 E99 J99 K99 
9 6 3	.VVCD...BCD.AABC.EH.B.FEHJNNF..JKKF. V99 B99 D99 E99 J99 K99 
9 6 3	.VVCD...BCD.AABCF.HJB.FEHJNNFE....KK V99 B99 D99 E98 F99 K97 
9 7 2	.VVCD...BCD.AABC..H.B.FEHJNNFE.JKKF. V99 B99 D99 E98 J99 K99 
9 6 3	...CVV..BCD.AABCD..JB.FEHJNNFEHKK.F. V96 B99 C98 E98 H99 
9 7 2	.VV.DE..BCDEAABC...JBCF.HJNNF.H.KKF. V99 B99 C99 D99 E99 H99 K99 
9 5 4	....VV..BCDEAABCDEH.BCF.HJNNF..JKKF. V96 B99 C99 J99 K99 
9 5 4	VVBCD...BCD.AABCFE.J..FEHJNNF.H.KK.. D99 E99 H99 F99 K99 
9 6 3	.VV..E..BCDEAABCD..JBCF.HJNNF.H.KKF. V99 B99 C99 E99 H99 K99 
9 7 2	..VVD...BCD.AABC..H.BCF.HJNNFE.JKKFE V98 B99 C99 D99 E97 J99 K99 
9 7 2	..VVD...BCD.AABC...JBCF.HJNNFEH.KKFE V98 B99 C99 D99 E97 H99 K99 
9 6 3	.VV.D...BCD.AABCF.HJBCFEHJNNFE.KK... V99 B99 C99 D99 E98 F99 
9 5 4	VVB.D...BCD.AABCFEHJ.CFEHJNNF...KK.. C99 D99 E99 F99 K99 
9 7 2	..VVDE..BCDEAABC...JBCF.HJNNF.H.KKF. V98 B99 C99 D99 E99 H99 K99 
9 6 3	..VVD...BCDEAABC.EHJBCF.HJNNF.KK..F. V98 B99 C99 D99 K99 
9 6 3	...VV...BCD.AABCD.HJBCFEHJNNFE.KK.F. V97 B99 C99 E98 H98 
9 6 3	.VV.....BCD.AABCD..JBCFEHJNNFEH.KKF. V99 B99 C99 E98 H99 K99 
9 5 4	VV......BCDEAABCDE..BCF.HJNNF.HJKKF. B99 C99 H99 J99 K99 
9 5 4	VV......BCD.AABCDE.JBCFEHJNNF.H.KKF. B99 C99 E99 H99 K99 
9 5 4	...VV...BCDEAABCDE.JBCF.HJNNF.H.KKF. V97 B99 C99 H99 K99 
9 6 3	VV..D...BCD.AABC.E.JBCFEHJNNF.H.KKF. B99 C99 D99 E99 H99 K99 
9 5 4	.VV.....BCDEAABCDE.JBCF.HJNNF.H.KKF. V99 B99 C99 H99 K99 
9 6 3	VV...E..BCDEAABCD...BCF.HJNNF.HJKKF. B99 C99 E99 H99 J99 K99 
9 5 4	VV.CD...BCD.AABCFEHJB.FEHJNNF.....KK B99 D99 E99 F99 K97 
9 5 4	..VV....BCD.AABCDE.JBCFEHJNNF.HKK.F. V98 B99 C99 E99 H99 
9 6 3	VVBCD...BCDEAABC.E....F.HJNNF.HJKKF. D99 E94 H99 J99 K99 
9 5 4	VVB.D...BCD.AABCFEHJ.CFEHJNNF.....KK C99 D99 E99 F99 K97 
9 5 4	VVBCD...BCD.AABCFEH...FEHJNNF..J..KK D99 E99 J99 F99 K97 
9 5 4	VVB.D...BCDEAABCFEH..CF.HJNNF..J..KK C99 D99 J99 F99 K97 
9 6 3	.VVCD...BCD.AABC.EH.B.FEHJNNF..JKKF. V99 B99 D99 E99 J99 K99 
9 5 4	...VV...BCDEAABCDEH.BCF.HJNNF..JKKF. V97 B99 C99 J99 K99 
9 5 4	VV.C....BCD.AABCDEHJB.FEHJNNF...KKF. B99 E99 H98 K99 
9 6 3	...VV...BCD.AABCD.H.BCF.HJNNFE.JKKFE V97 B99 C99 E97 J99 K99 
9 5 4	VVB.D...BCDEAABCFEH..CF.HJNNF..J.KK. C99 D99 J99 F99 K98 
9 6 3	VV..D...BCD.AABCF.HJBCFEHJNNFE....KK B99 C99 D99 E98 F99 K97 
9 6 3	..VVD...BCD.AABCF.HJBCFEHJNNFE.KK... V98 B99 C99 D99 E98 F99 
9 6 3	.VV.D...BCD.AABC.E.JBCFEHJNNF.HKK.F. V99 B99 C99 D99 E99 H99 
9 6 3	.VVCD...BCDEAABC.E.JB.F.HJNNF.H.KKF. V99 B99 D99 H99 K97 
9 7 2	..VVDE..BCDEAABC...JBCF.HJNNF.HKK.F. V98 B99 C99 D99 E99 H99 
9 7 2	.VV.D...BCD.AABC..HJBCFEHJNNFE.KK.F. V99 B99 C99 D99 E98 K98 
9 6 3	VV..D...BCD.AABCF..JBCFEHJNNFEHKK... B99 C99 D99 E98 H99 F99 
9 5 4	VVB.D...BCDEAABCFE.J.CF.HJNNF.H..KK. C99 D99 H99 F99 K98 
9 7 2	.VV.D...BCD.AABC..H.BCFEHJNNFE.JKKF. V99 B99 C99 D99 E98 J99 K99 
9 7 2	.VV.D...BCD.AABC...JBCFEHJNNFEH.KKF. V99 B99 C99 D99 E98 H99 K99 
9 6 3	..BVV...BCD.AABCD.HJ.CFEHJNNFE.KK.F. V97 B98 C99 E98 
9 6 3	VV.CDE..BCDEAABCF.H.B.F.HJNNF..JKK.. B99 D99 E99 J99 F99 K99 
9 5 4	..BVV...BCDEAABCDEHJ.CF.HJNNF..KK.F. V97 B98 C99 
9 6 3	VV..D...BCD.AABCF.HJBCF.HJNNFEKK...E B99 C99 D99 E97 F99 K99 
9 7 2	.VVCD...BCD.AABC....B.F.HJNNFEHJKKFE V99 B99 D99 E97 H99 J99 K99 
9 7 2	.VVCD...BCD.AABC...JB.FEHJNNFEH.KKF. V99 B99 D99 E96 H99 K99 
9 5 4	VV.C....BCD.AABCDEH.B.FEHJNNF..JKKF. B99 E95 J99 K99 
9 6 3	VV..D...BCDEAABC.EHJBCF.HJNNF.KK..F. B99 C99 D99 E94 K99 
9 6 3	VV.CD...BCD.AABC.EH.B.FEHJNNF..JKKF. B99 D99 E95 J99 K99 
9 5 4	.VVCD...BCDEAABCFEHJB.F.HJNNF.KK.... V99 B99 D99 F99 K99 
9 6 3	..VVD...BCD.AABC.E.JBCFEHJNNF.HKK.F. V98 B99 C99 D99 E99 H99 
9 6 3	VV..D...BCD.AABCF.HJBCF.HJNNFE..KK.E B99 C99 D99 E97 F99 K99 
9 6 3	.VV.D...BCD.AABC.E.JBCFEHJNNF.HKK.F. V99 B99 C99 D99 E99 H99 
9 6 3	..VVD...BCD.AABC.EHJBCFEHJNNF.KK..F. V98 B99 C99 D99 E99 K99 
9 5 4	VV.C....BCD.AABCDEHJB.FEHJNNF.KK..F. B99 D98 E99 K99 
9 6 3	..BVV...BCD.AABCD.HJ.CFEHJNNFEKK..F. V97 B98 C99 E98 K99 
9 5 4	VV.CD...BCD.AABCFEHJB.FEHJNNF.KK.... B99 D99 E99 F99 K99 
9 6 3	.VVCD...BCD.AABCF.HJB.F.HJNNFE..KK.E V99 B99 D99 E97 F99 K99 
9 6 3	.VVCD...BCD.AABCF.HJB.F.HJNNFEKK...E V99 B99 D99 E97 F99 K99 
9 5 4	.VVCD...BCDEAABCFE.JB.F.HJNNF.HKK... V99 B99 D99 H99 F99 
9 6 3	.VVCD...BCDEAABC.EHJB.F.HJNNF...KKF. V99 B99 D99 E94 K99 
9 6 3	VVB.D...BCD.AABCF..J.CFEHJNNFEH...KK C99 D99 E98 H99 F99 K97 
9 6 3	VVB.D...BCD.AABCF.H..CFEHJNNFE.JKK.. C99 D99 E98 J99 F99 K99 
9 6 3	...CVV..BCD.AABCD.HJB.F.HJNNFE..KKFE V96 B99 C98 E97 K99 
9 6 3	..VVD...BCDEAABC.E.JBCF.HJNNF.HKK.F. V98 B99 C99 D99 H99 
9 5 4	..VV....BCDEAABCDEHJBCF.HJNNF.KK..F. V98 B99 C99 K99 
9 5 4	VV..D...BCD.AABCFEHJBCFEHJNNF..KK... B99 C99 D99 E99 F99 
9 6 3	..VVDE..BCDEAABCF.HJBCF.HJNNF..KK... V98 B99 C99 D99 E99 F99 
9 5 4	....VV..BCDEAABCDEHJBCF.HJNNF.KK..F. V96 B99 C99 K99 
9 6 3	VV.CD...BCD.AABCF..JB.FEHJNNFEHKK... B99 D99 E96 H99 F99 
9 6 3	..VV.E..BCDEAABCD.H.BCF.HJNNF..JKKF. V98 B99 C99 E99 J99 K99 
9 5 4	VVBCD...BCD.AABCFEH...FEHJNNF..JKK.. D99 E99 J99 F99 K99 
9 7 2	..VVDE..BCDEAABC..H.BCF.HJNNF..JKKF. V98 B99 C99 D99 E99 J99 K99 
9 5 4	VVB.....BCD.AABCDEH..CFEHJNNF..JKKF. C99 E97 J99 K99 
9 6 3	VV.CD...BCD.AABCF.H.B.FEHJNNFE.JKK.. B99 D99 E98 J99 F99 K99 
9 6 3	.VV.D...BCD.AABC.E.JBCFEHJNNF.HKK.F. V99 B99 C99 D99 E99 H99 
9 6 3	VVB.D...BCD.AABC.EH..CFEHJNNF..JKKF. C99 D99 E97 J99 K99 
9 6 3	.VVCD...BCD.AABCF..JB.F.HJNNFEHKK..E V99 B99 D99 E97 H99 F99 
9 6 3	VVB.D...BCDEAABC.EH..CF.HJNNF..JKKF. C99 D99 E98 J99 K99 
9 5 4	VV......BCD.AABCDEHJBCFEHJNNF...KKF. B99 C99 E97 K99 
9 6 3	..B.VV..BCD.AABCD.HJ.CFEHJNNFE.KK.F. V96 B98 C99 E98 
9 6 3	...CVV..BCD.AABCD.HJB.FEHJNNFE.KK.F. V96 B99 C98 E98 
9 6 3	..VVD...BCDEAABC.EHJBCF.HJNNF...KKF. V98 B99 C99 D99 K99 
9 6 3	...CVV..BCD.AABCD.HJB.F.HJNNFEKK..FE V96 B99 C98 E97 K99 
9 5 4	..B.VV..BCDEAABCDEHJ.CF.HJNNF..KK.F. V96 B98 C99 
9 6 3	.VV.D...BCD.AABC.E.JBCFEHJNNF.HKK.F. V99 B99 C99 D99 E99 H99 
9 6 3	..BVVE..BCDEAABCD.HJ.CF.HJNNF...KKF. V97 B98 C99 E99 K99 
9 5 4	....VV..BCDEAABCDEHJBCF.HJNNF.KK..F. V96 B99 C99 K99 
9 6 3	....VV..BCD.AABCD.H.BCFEHJNNFE.JKKF. V96 B99 C99 E98 J99 K99 
9 6 3	.VVCD...BCD.AABCF.HJB.FEHJNNFEKK.... V99 B99 D99 E98 F99 K99 
9 6 3	..VV....BCD.AABCD.H.BCFEHJNNFE.JKKF. V98 B99 C99 E98 J99 K99 
9 6 3	...VV...BCD.AABCD.H.BCFEHJNNFE.JKKF. V97 B99 C99 E98 J99 K99 
9 6 3	VV..DE..BCDEAABCF..JBCF.HJNNF.HKK... B99 C99 D99 E99 H99 F99 
9 6 3	..B.VV..BCD.AABCD.HJ.CF.HJNNFE..KKFE V96 B98 C99 E97 K99 
9 7 2	.VVCD...BCD.AABC....B.FEHJNNFEHJKKF. V99 B99 D99 E98 H99 J99 K99 
9 6 3	..BVVE..BCDEAABCD.HJ.CF.HJNNF.KK..F. V97 B98 C99 E99 K99 
9 6 3	..BVV...BCD.AABCD.HJ.CF.HJNNFEKK..FE V97 B98 C99 E97 K99 
9 5 4	.VV.....BCD.AABCDEHJBCFEHJNNF..KK.F. V99 B99 C99 E95 
9 6 3	.VV.....BCD.AABCD.H.BCF.HJNNFE.JKKFE V99 B99 C99 E97 J99 K99 
9 6 3	VV..D...BCD.AABCF.HJBCFEHJNNFE..KK.. B99 C99 D99 E98 F99 K99 
9 6 3	.VVCD...BCD.AABCF.HJB.FEHJNNFE..KK.. V99 B99 D99 E98 F99 K99 
9 6 3	..B.VV..BCD.AABCD.HJ.CFEHJNNFEKK..F. V96 B98 C99 E98 K99 
9 5 4	..VV....BCDEAABCDEHJBCF.HJNNF..KK.F. V98 B99 C99 E94 
9 5 4	..VV....BCD.AABCDEHJBCFEHJNNF..KK.F. V98 B99 C99 E95 
9 6 3	...CVV..BCD.AABCD.HJB.FEHJNNFEKK..F. V96 B99 C98 E98 K99 
9 6 3	.VVCD...BCD.AABCF.HJB.F.HJNNFE...KKE V99 B99 D99 E97 F99 K98 
9 6 3	VV..DE..BCDEAABCF.HJBCF.HJNNF.KK.... B99 C99 D99 E99 F99 K99 
9 6 3	VV..DE..BCDEAABCF.HJBCF.HJNNF....KK. B99 C99 D99 E99 F99 K98 
9 6 3	.VV.....BCD.AABCD..JBCF.HJNNFEHKK.FE V97 B99 C99 H99 E97 
9 7 2	..VVD...BCD.AABC...JBCFEHJNNFEH.KKF. V98 B99 C99 D99 E98 H99 K99 
9 6 3	.VV.D...BCD.AABC.E.JBCFEHJNNF.HKK.F. V99 B99 C99 D99 E99 H99 
9 6 3	.VV.DE..BCDEAABCF.HJBCF.HJNNF..KK... V99 B99 C99 D99 E99 F99 
9 6 3	....VV..BCD.AABCD.HJBCFEHJNNFE.KK.F. V96 B99 C99 E98 
9 7 2	VV..D...BCD.AABC....BCF.HJNNFEHJKKFE B99 C99 D99 E97 H99 J99 K99 
9 5 4	...VV...BCDEAABCDEHJBCF.HJNNF..KK.F. V97 B99 C99 E94 
9 6 3	VV.CD...BCD.AABCF..JB.FEHJNNFEH...KK B99 D99 E98 H99 F99 K97 
9 7 2	..VVD...BCD.AABC..H.BCFEHJNNFE.JKKF. V98 B99 C99 D99 E98 J99 K99 
9 5 4	...VV...BCD.AABCDEHJBCFEHJNNF..KK.F. V97 B99 C99 E95 
9 6 3	.VV.....BCD.AABCD..JBCF.HJNNFEH.KKFE V99 B99 C99 E97 H99 K99 
9 5 4	....VV..BCD.AABCDEHJBCFEHJNNF..KK.F. V96 B99 C99 E95 
9 5 4	.VV.D...BCDEAABCFEHJBCF.HJNNF..KK... V99 B99 C99 D99 F99 
9 6 3	..BVV...BCD.AABCD..J.CF.HJNNFEHKK.FE V97 B98 C99 E97 H99 
9 5 4	VV.CD...BCD.AABCFEHJB.FEHJNNF....KK. B99 D99 E99 F99 K98 
9 6 3	.VVCDE..BCDEAABCF.HJB.F.HJNNF....KK. V99 B99 D99 E99 F99 K98 
9 6 3	VV.CD...BCD.AABCF.H.B.F.HJNNFE.J.KKE B99 D99 E97 J99 F99 K98 
9 6 3	VV.CD...BCD.AABCF.H.B.F.HJNNFE.JKK.E B99 D99 E97 J99 F99 K99 
9 6 3	VV..D...BCD.AABCF.HJBCFEHJNNFEKK.... B99 C99 D99 E98 F99 K99 
9 6 3	..BVVE..BCDEAABCD.HJ.CF.HJNNF..KK.F. V97 B98 C99 E93 
9 6 3	VVB.D...BCD.AABCF.H..CF.HJNNFE.JKK.E C99 D99 E97 J99 F99 K99 
9 6 3	.VV.D...BCD.AABC.EHJBCFEHJNNF..KK.F. V99 B99 C99 D99 E95 
9 5 4	VVB.D...BCD.AABCFEHJ.CFEHJNNF....KK. C99 D99 E99 F99 K98 
9 6 3	..B.VV..BCD.AABCD.HJ.CF.HJNNFE.KK.FE V96 B98 C99 E97 
9 6 3	..VVD...BCDEAABC.EHJBCF.HJNNF..KK.F. V98 B99 C99 D99 E94 
9 5 4	...CVV..BCDEAABCDE.JB.F.HJNNF.HKK.F. V96 B99 C98 H99 
9 5 4	....VV..BCD.AABCDE.JBCFEHJNNF.HKK.F. V96 B99 C99 E99 H99 
9 6 3	..VVD...BCD.AABCF.HJBCF.HJNNFE.KK..E V98 B99 C99 D99 E97 F99 
9 5 4	..VV....BCD.AABCDEHJBCFEHJNNF.KK..F. V98 B99 C99 E99 K99 
9 5 4	....VV..BCD.AABCDEHJBCFEHJNNF.KK..F. V96 B99 C99 E99 K99 
9 5 4	VVBCD...BCD.AABCFEHJ..FEHJNNF....KK. D99 E97 F99 K98 
9 6 3	.VVCDE..BCDEAABCF..JB.F.HJNNF.HKK... V99 B99 D99 E99 H99 F99 
9 6 3	VVB.D...BCD.AABCF..J.CF.HJNNFEH.KK.E C99 D99 E97 H99 F99 K99 
9 6 3	..BCVV..BCD.AABCD.HJ..F.HJNNFE.KK.FE V96 B98 C98 E97 
9 7 2	VVB.D...BCD.AABC.....CF.HJNNFEHJKKFE C99 D99 E97 H99 J99 K99 
9 6 3	VVBCD...BCD.AABCF.....FEHJNNFEHJKK.. D99 E98 H99 J99 F99 K99 
9 6 3	.VV.....BCD.AABCD.HJBCFEHJNNFEKK..F. V99 B99 C99 E96 K99 
9 6 3	.VVCDE..BCDEAABCF.HJB.F.HJNNF.KK.... V99 B99 D99 E99 F99 K99 
9 6 3	.VVCD...BCD.AABCF.HJB.F.HJNNFE.KK..E V99 B99 D99 E95 F99 
9 7 2	.VV.D...BCD.AABC...JBCF.HJNNFEHKK.FE V97 D99 B99 C99 H99 E97 
9 6 3	.VV.D...BCDEAABC.EH.BCF.HJNNF..JKKF. V99 B99 C99 D99 J99 K99 
9 6 3	.VV.D...BCD.AABC.EHJBCFEHJNNF...KKF. V99 B99 C99 D99 E99 K99 
9 5 4	VV.CD...BCD.AABCFEHJB.FEHJNNF.....KK B99 D99 E99 F99 K97 
9 6 3	VVB.D...BCD.AABC.E.J.CFEHJNNF.H.KKF. C99 D99 E97 H99 K99 
9 6 3	VV.CD...BCD.AABCF..JB.F.HJNNFEH.KK.E B99 D99 E97 H99 F99 K99 
9 7 2	VV..D...BCD.AABC....BCFEHJNNFEHJKKF. B99 C99 D99 E98 H99 J99 K99 
9 6 3	.VV.....BCD.AABCD.H.BCFEHJNNFE.JKKF. V99 B99 C99 E98 J99 K99 
9 6 3	VV.CD...BCD.AABC.E.JB.FEHJNNF.H.KKF. B99 D99 E97 H99 K99 
9 6 3	.VVC.E..BCDEAABCD..JB.F.HJNNF.HKK.F. V99 B99 D98 E99 H99 
9 5 4	VVBCD...BCD.AABCFE.J..FEHJNNF.H..KK. D99 E99 H99 F99 K98 
9 7 2	VV..DE..BCDEAABC....BCF.HJNNF.HJKKF. B99 C99 D99 E99 H99 J99 K99 
9 5 4	VVB.D...BCDEAABCFE.J.CF.HJNNF.H.KK.. C99 D99 H99 F99 K99 
9 6 3	VV..D...BCD.AABC.EHJBCFEHJNNF...KKF. B99 C99 D99 E97 K99 
10 6 4	VVB.....BCD.AABCDE...CFEHJNNF.HJKKF. C99 E97 H99 J99 K99 
10 7 3	..VVDE..BCDEAABCF.HJBCF.HJNNF.....KK V98 B99 C99 D99 E99 F99 K97 
10 6 4	VVB.D...BCD.AABCFE.J.CFEHJNNF.H...KK C99 D99 E99 H99 F99 K97 
10 7 3	....VV..BCD.AABCD...BCF.HJNNFEHJKKFE V96 B99 C99 E97 H99 J99 K99 
10 6 4	VV.C....BCDEAABCDEH.B.F.HJNNF..JKKF. B99 E94 J99 K99 
10 6 4	VV.CD...BCD.AABCFEH.B.FEHJNNF..J.KK. B99 D99 E99 J99 F99 K98 
10 7 3	..VVDE..BCDEAABCF.HJBCF.HJNNF...KK.. V98 B99 C99 D99 E99 F99 K99 
10 6 4	VVB.D...BCD.AABCFE.J.CFEHJNNF.H.KK.. C99 D99 E99 H99 F99 K99 
10 7 3	VV..D...BCD.AABC.EH.BCFEHJNNF..JKKF. B99 C99 D99 E97 J99 K99 
10 7 3	VV..D...BCD.AABCF..JBCFEHJNNFEH...KK B99 C99 D99 E98 H99 F99 K97 
