0 0 0	.C....BC.PTUBAAPTUYYYOTU...O.....KK. 
5 5 0	BC.PT.BC.PT..AA.TUYYYO.U...O.U.KK... B99 P99 T99 U99 K98 
5 5 0	BC.PT.BC.PT..AA.TUYYYO.U...O.UKK.... B99 P99 T99 U99 K97 
5 5 0	BC.PT.BC.PT..AA.TUYYYO.U...O.U....KK B99 P99 T99 U99 K99 
5 5 0	BC.PT.BC.PT.AA..T.YYYO.U...O.U...KKU B99 P99 T99 U98 A99 
5 5 0	BC.PT.BC.PT...AAT.YYYO.U...O.U...KKU B99 P99 T99 U98 A99 
5 5 0	BC.PT.BC.PT..AAOT.YYYO.U.....U...KKU B99 P99 T99 U98 O99 
5 5 0	BC.PT.BC.PT..AA.T.YYYO.U...O.U..KK.U B99 P99 T99 U98 K99 
5 5 0	BC.PT.BC.PT..AA.T.YYYO.U...O.U.KK..U B99 P99 T99 U98 K98 
5 5 0	BC.PT.BC.PT..AA.T.YYYO.U...O.UKK...U B99 P99 T99 U98 K97 
5 5 0	BC.PTUBC.PTUAA..TUYYYO.....O.....KK. B99 P99 T99 U99 A99 
5 5 0	BC.PTUBC.PTU..AATUYYYO.....O.....KK. B99 P99 T99 U99 A99 
5 5 0	BC.PTUBC.PTU.AAOTUYYYO...........KK. B99 P99 T99 U99 O99 
5 5 0	BC.PTUBC.PTU.AA.TUYYYO.....O....KK.. B99 P99 T99 U99 K99 
5 5 0	BC.PTUBC.PTU.AA.TUYYYO.....O...KK... B99 P99 T99 U99 K98 
5 5 0	BC.PTUBC.PTU.AA.TUYYYO.....O..KK.... B99 P99 T99 U99 K97 
5 5 0	BC.PTUBC.PTU.AA.TUYYYO.....O......KK B99 P99 T99 U99 K99 
5 5 0	BC.PT.BC.PTUAA.OTUYYYO.U.........KK. B99 P99 T99 A99 O99 
5 5 0	BC.PT.BC.PTUAA..TUYYYO.U...O....KK.. B99 P99 T99 A99 K99 
5 5 0	BC.PT.BC.PTUAA..TUYYYO.U...O...KK... B99 P99 T99 A99 K98 
5 5 0	BC.PT.BC.PTUAA..TUYYYO.U...O..KK.... B99 P99 T99 A99 K97 
5 5 0	BC.PT.BC.PTUAA..TUYYYO.U...O......KK B99 P99 T99 A99 K99 
5 5 0	B..PT.BC.PTU.CAATUYYYO.U...O.....KK. C99 B99 P99 T99 A99 
5 5 0	BC.PT.BC.PTU..AATUYYYO.U...O....KK.. B99 P99 T99 A99 K99 
5 5 0	BC.PT.BC.PTU..AATUYYYO.U...O...KK... B99 P99 T99 A99 K98 
5 5 0	BC.PT.BC.PTU..AATUYYYO.U...O..KK.... B99 P99 T99 A99 K97 
5 5 0	BC.PT.BC.PTU..AATUYYYO.U...O......KK B99 P99 T99 A99 K99 
5 5 0	BC.PT.BC.PTU.AAOTUYYYO.U........KK.. B99 P99 T99 O99 K99 
5 5 0	BC.PT.BC.PTU.AAOTUYYYO.U.......KK... B99 P99 T99 O99 K98 
5 5 0	BC.PT.BC.PTU.AAOTUYYYO.U......KK.... B99 P99 T99 O99 K97 
5 5 0	BC.PT.BC.PTU.AAOTUYYYO.U..........KK B99 P99 T99 O99 K99 
5 5 0	BC.PT.BC.PTU.AA.TUYYY..U...O...KKO.. B99 P99 T99 O99 K98 
5 5 0	BC.PT.BC.PTU.AA.TUYYY..U...O..KK.O.. B99 P99 T99 O99 K97 
5 5 0	BC.PT.BC.PTU.AA.TUYYY..U...O.....OKK B99 P99 T99 O99 K99 
5 5 0	BC.P..BC.PT.AA.OTUYYYOTU.....U...KK. B99 P99 U99 A99 O99 
5 5 0	BC.P..BC.PT.AA..TUYYYOTU...O.U..KK.. B99 P99 U99 A99 K99 
5 5 0	BC.P..BC.PT.AA..TUYYYOTU...O.U.KK... B99 P99 U99 A99 K98 
5 5 0	BC.P..BC.PT.AA..TUYYYOTU...O.UKK.... B99 P99 U99 A99 K97 
5 5 0	BC.P..BC.PT.AA..TUYYYOTU...O.U....KK B99 P99 U99 A99 K99 
5 5 0	B..P..BC.PT..CAATUYYYOTU...O.U...KK. C99 B99 P99 U99 A99 
5 5 0	BC.P..BC.PT...AATUYYYOTU...O.U..KK.. B99 P99 U99 A99 K99 
5 5 0	BC.P..BC.PT...AATUYYYOTU...O.U.KK... B99 P99 U99 A99 K98 
5 5 0	BC.P..BC.PT...AATUYYYOTU...O.UKK.... B99 P99 U99 A99 K97 
5 5 0	BC.P..BC.PT...AATUYYYOTU...O.U....KK B99 P99 U99 A99 K99 
5 5 0	BC.P..BC.PT..AAOTUYYYOTU.....U..KK.. B99 P99 U99 O99 K99 
5 5 0	BC.P..BC.PT..AAOTUYYYOTU.....U.KK... B99 P99 U99 O99 K98 
5 5 0	BC.P..BC.PT..AAOTUYYYOTU.....UKK.... B99 P99 U99 O99 K97 
5 5 0	BC.P..BC.PT..AAOTUYYYOTU.....U....KK B99 P99 U99 O99 K99 
5 5 0	BC.P..BC.P...AA..UYYYOTU...OTU..KKT. B99 P99 T98 U99 K99 
5 5 0	BC.P..BC.P...AA..UYYYOTU...OTU.KK.T. B99 P99 T98 U99 K98 
5 5 0	BC.P..BC.PT..AA.TUYYY.TU...O.U.KKO.. B99 P99 U99 O99 K98 
5 5 0	BC.P..BC.P...AA..UYYYOTU...OTUKK..T. B99 P99 T98 U99 K97 
5 5 0	BC.P..BC.PT..AA.TUYYY.TU...O.UKK.O.. B99 P99 U99 O99 K97 
5 5 0	BC.P..BC.PT..AA.TUYYY.TU...O.U...OKK B99 P99 U99 O99 K99 
5 5 0	BC.P..BC.PT.AA.OT.YYYOTU.....U...KKU B99 P99 U98 A99 O99 
5 5 0	BC.P..BC.PT.AA..T.YYYOTU...O.U..KK.U B99 P99 U98 A99 K99 
5 5 0	BC.P..BC.PT.AA..T.YYYOTU...O.U.KK..U B99 P99 U98 A99 K98 
5 5 0	BC.P..BC.PT.AA..T.YYYOTU...O.UKK...U B99 P99 U98 A99 K97 
5 5 0	B..P..BC.PT..CAAT.YYYOTU...O.U...KKU C99 B99 P99 U98 A99 
5 5 0	BC.P..BC.PT...AAT.YYYOTU...O.U..KK.U B99 P99 U98 A99 K99 
5 5 0	BC.P..BC.PT...AAT.YYYOTU...O.U.KK..U B99 P99 U98 A99 K98 
5 5 0	BC.P..BC.PT...AAT.YYYOTU...O.UKK...U B99 P99 U98 A99 K97 
5 5 0	BC.P..BC.PT..AAOT.YYYOTU.....U..KK.U B99 P99 U98 O99 K99 
5 5 0	BC.P..BC.PT..AAOT.YYYOTU.....U.KK..U B99 P99 U98 O99 K98 
5 5 0	BC.P..BC.PT..AAOT.YYYOTU.....UKK...U B99 P99 U98 O99 K97 
5 5 0	BC.P..BC.P...AA...YYYOTU...OTU..KKTU B99 P99 T98 U98 K99 
5 5 0	BC.P..BC.P...AA...YYYOTU...OTU.KK.TU B99 P99 T98 U98 K98 
5 5 0	BC.P..BC.PT..AA.T.YYY.TU...O.U.KKO.U B99 P99 U98 O99 K98 
5 5 0	BC.P..BC.P...AA...YYYOTU...OTUKK..TU B99 P99 T98 U98 K97 
5 5 0	BC.P..BC.PT..AA.T.YYY.TU...O.UKK.O.U B99 P99 U98 O99 K97 
5 5 0	BC.P.UBC.PTUAA.OTUYYYOT..........KK. B99 P99 U99 A99 O99 
5 5 0	BC.P.UBC.PTUAA..TUYYYOT....O....KK.. B99 P99 U99 A99 K99 
5 5 0	BC.P.UBC.PTUAA..TUYYYOT....O...KK... B99 P99 U99 A99 K98 
5 5 0	BC.P.UBC.PTUAA..TUYYYOT....O..KK.... B99 P99 U99 A99 K97 
5 5 0	BC.P.UBC.PTUAA..TUYYYOT....O......KK B99 P99 U99 A99 K99 
5 5 0	B..P.UBC.PTU.CAATUYYYOT....O.....KK. C99 B99 P99 U99 A99 
5 5 0	BC.P.UBC.PTU..AATUYYYOT....O....KK.. B99 P99 U99 A99 K99 
5 5 0	BC.P.UBC.PTU..AATUYYYOT....O...KK... B99 P99 U99 A99 K98 
5 5 0	BC.P.UBC.PTU..AATUYYYOT....O..KK.... B99 P99 U99 A99 K97 
5 5 0	BC.P.UBC.PTU..AATUYYYOT....O......KK B99 P99 U99 A99 K99 
5 5 0	BC.P.UBC.PTU.AAOTUYYYOT.........KK.. B99 P99 U99 O99 K99 
5 5 0	BC.P.UBC.PTU.AAOTUYYYOT........KK... B99 P99 U99 O99 K98 
5 5 0	BC.P.UBC.PTU.AAOTUYYYOT.......KK.... B99 P99 U99 O99 K97 
5 5 0	BC.P.UBC.PTU.AAOTUYYYOT...........KK B99 P99 U99 O99 K99 
5 5 0	BC.P.UBC.P.U.AA..UYYYOT....OT...KKT. B99 P99 T98 U99 K99 
5 5 0	BC.P.UBC.P.U.AA..UYYYOT....OT..KK.T. B99 P99 T98 U99 K98 
5 5 0	BC.P.UBC.PTU.AA.TUYYY.T....O...KKO.. B99 P99 U99 O99 K98 
5 5 0	BC.P.UBC.P.U.AA..UYYYOT....OT.KK..T. B99 P99 T98 U99 K97 
5 5 0	BC.P.UBC.PTU.AA.TUYYY.T....O..KK.O.. B99 P99 U99 O99 K97 
5 5 0	BC.P.UBC.PTU.AA.TUYYY.T....O.....OKK B99 P99 U99 O99 K99 
5 5 0	BC.P..BC.PTUAA.OTUYYYOTU........KK.. B99 P99 A99 O99 K99 
5 5 0	BC.P..BC.PTUAA.OTUYYYOTU.......KK... B99 P99 A99 O99 K98 
5 5 0	BC.P..BC.PTUAA.OTUYYYOTU......KK.... B99 P99 A99 O99 K97 
5 5 0	BC.P..BC.PTUAA.OTUYYYOTU..........KK B99 P99 A99 O99 K99 
5 5 0	BC.P..BC.P.UAA...UYYYOTU...OT...KKT. B99 P99 T98 A99 K99 
5 5 0	BC.P..BC.P.UAA...UYYYOTU...OT..KK.T. B99 P99 T98 A99 K98 
5 5 0	BC.P..BC.PTUAA..TUYYY.TU...O...KKO.. B99 P99 A99 O99 K98 
5 5 0	BC.P..BC.P.UAA...UYYYOTU...OT.KK..T. B99 P99 T98 A99 K97 
5 5 0	BC.P..BC.PTUAA..TUYYY.TU...O..KK.O.. B99 P99 A99 O99 K97 
5 5 0	BC.P..BC.PTUAA..TUYYY.TU...O.....OKK B99 P99 A99 O99 K99 
5 5 0	B..P..BC.PTU.CAATUYYYOTU...O....KK.. C99 B99 P99 A99 K99 
5 5 0	B..P..BC.PTU.CAATUYYYOTU...O...KK... C99 B99 P99 A99 K98 
5 5 0	B..P..BC.PTU.CAATUYYYOTU...O..KK.... C99 B99 P99 A99 K97 
5 5 0	B..P..BC.PTU.CAATUYYYOTU...O......KK C99 B99 P99 A99 K99 
5 5 0	BC.P..BC.P.U..AA.UYYYOTU...OT...KKT. B99 P99 T98 A99 K99 
5 5 0	BC.P..BC.P.U..AA.UYYYOTU...OT..KK.T. B99 P99 T98 A99 K98 
5 5 0	BC.P..BC.PTU..AATUYYY.TU...O...KKO.. B99 P99 A99 O99 K98 
5 5 0	BC.P..BC.P.U..AA.UYYYOTU...OT.KK..T. B99 P99 T98 A99 K97 
5 5 0	BC.P..BC.PTU..AATUYYY.TU...O..KK.O.. B99 P99 A99 O99 K97 
5 5 0	BC.P..BC.PTU..AATUYYY.TU...O.....OKK B99 P99 A99 O99 K99 
5 5 0	BC.P..BC.P.U.AAO.UYYYOTU....T...KKT. B99 P99 T98 O99 K99 
5 5 0	BC.P..BC.P.U.AAO.UYYYOTU....T..KK.T. B99 P99 T98 O99 K98 
5 5 0	BC.P..BC.P.U.AAO.UYYYOTU....T.KK..T. B99 P99 T98 O99 K97 
5 5 0	BC.P..BC.P.U...AAUYYYOTU...OT...KKT. B99 P99 T98 A98 K99 
5 5 0	BC.P..BC.P.U...AAUYYYOTU...OT..KK.T. B99 P99 T98 A98 K98 
5 5 0	BC.P..BC.P.U.AA..UYYY.TU...OT..KKOT. B99 P99 T98 O99 K98 
5 5 0	BC.P..BC.PTU.AA.TU.YYYTU...O...KKO.. B99 P99 Y99 O99 K98 
5 5 0	BC.P..BC.P.U...AAUYYYOTU...OT.KK..T. B99 P99 T98 A98 K97 
5 5 0	BC.P..BC.P.U.AA..UYYY.TU...OT.KK.OT. B99 P99 T98 O99 K97 
5 5 0	BC.P..BC.PTU.AA.TU.YYYTU...O..KK.O.. B99 P99 Y99 O99 K97 
5 5 0	BC.P..BC.PTU.AA.TU.YYYTU...O.....OKK B99 P99 Y99 O99 K99 
5 5 0	BC....BC.P..AA.PTUYYYOTU...OTU..KK.. B99 T99 U99 A99 K99 
5 5 0	BC....BC.P..AA.PTUYYYOTU...OTU.KK... B99 T99 U99 A99 K98 
5 5 0	BC....BC.P..AA.PTUYYYOTU...OTUKK.... B99 T99 U99 A99 K97 
5 5 0	BC....BC.P..AA.PTUYYYOTU...OTU....KK B99 T99 U99 A99 K99 
5 5 0	BC....BC.P...AAPTUYYY.TU...OTU.KKO.. B99 T99 U99 O99 K98 
5 5 0	BC....BC.P...AAPTUYYY.TU...OTUKK.O.. B99 T99 U99 O99 K97 
5 5 0	BC....BC.P...AAPTUYYY.TU...OTU...OKK B99 T99 U99 O99 K99 
5 5 0	BC....BC.P..AA.PT.YYYOTU...OTU..KK.U B99 T99 U98 A99 K99 
5 5 0	BC....BC.P..AA.PT.YYYOTU...OTU.KK..U B99 T99 U98 A99 K98 
5 5 0	BC....BC.P..AA.PT.YYYOTU...OTUKK...U B99 T99 U98 A99 K97 
5 5 0	BC....BC.P...AAPT.YYY.TU...OTU.KKO.U B99 T99 U98 O99 K98 
5 5 0	BC....BC.P...AAPT.YYY.TU...OTUKK.O.U B99 T99 U98 O99 K97 
5 5 0	BC...UBC.P.UAA.PTUYYYOT....OT...KK.. B99 T99 U99 A99 K99 
5 5 0	BC...UBC.P.UAA.PTUYYYOT....OT..KK... B99 T99 U99 A99 K98 
5 5 0	BC...UBC.P.UAA.PTUYYYOT....OT.KK.... B99 T99 U99 A99 K97 
5 5 0	BC...UBC.P.UAA.PTUYYYOT....OT.....KK B99 T99 U99 A99 K99 
5 5 0	BC...UBC.P.U.AAPTUYYY.T....OT..KKO.. B99 T99 U99 O99 K98 
5 5 0	BC...UBC.P.U.AAPTUYYY.T....OT.KK.O.. B99 T99 U99 O99 K97 
5 5 0	BC...UBC.P.U.AAPTUYYY.T....OT....OKK B99 T99 U99 O99 K99 
5 5 0	BC....BC.P.UAA.PTUYYY.TU...OT..KKO.. B99 T99 A99 O99 K98 
5 5 0	BC....BC.P.UAA.PTUYYY.TU...OT.KK.O.. B99 T99 A99 O99 K97 
5 5 0	BC....BC.P.UAA.PTUYYY.TU...OT....OKK B99 T99 A99 O99 K99 
5 5 0	BC....BC...U.AAPTUYYYPTU...OT..KKO.. B99 P99 T99 O99 K98 
5 5 0	BC....BC.P.U.AAPTU.YYYTU...OT..KKO.. B99 T99 Y99 O99 K98 
5 5 0	BC....BC...U.AAPTUYYYPTU...OT.KK.O.. B99 P99 T99 O99 K97 
5 5 0	BC....BC.P.U.AAPTU.YYYTU...OT.KK.O.. B99 T99 Y99 O99 K97 
5 5 0	BC....BC...U.AAPTUYYYPTU...OT....OKK B99 P99 T99 O99 K99 
5 5 0	BC....BC.P.U.AAPTU.YYYTU...OT....OKK B99 T99 Y99 O99 K99 
5 5 0	BC..T.BC.PT.AA.PTUYYYO.U...O.U..KK.. B99 T99 U99 A99 K99 
5 5 0	BC..T.BC.PT.AA.PTUYYYO.U...O.U.KK... B99 T99 U99 A99 K98 
5 5 0	BC..T.BC.PT.AA.PTUYYYO.U...O.UKK.... B99 T99 U99 A99 K97 
5 5 0	BC..T.BC.PT.AA.PTUYYYO.U...O.U....KK B99 T99 U99 A99 K99 
5 5 0	BC..T.BC.PT..AAPTUYYY..U...O.U.KKO.. B99 T99 U99 O99 K98 
5 5 0	BC..T.BC.PT..AAPTUYYY..U...O.UKK.O.. B99 T99 U99 O99 K97 
5 5 0	BC..T.BC.PT..AAPTUYYY..U...O.U...OKK B99 T99 U99 O99 K99 
5 5 0	BC..T.BC.PT.AA.PT.YYYO.U...O.U..KK.U B99 T99 U98 A99 K99 
5 5 0	BC..T.BC.PT.AA.PT.YYYO.U...O.U.KK..U B99 T99 U98 A99 K98 
5 5 0	BC..T.BC.PT.AA.PT.YYYO.U...O.UKK...U B99 T99 U98 A99 K97 
5 5 0	BC..T.BC.PT..AAPT.YYY..U...O.U.KKO.U B99 T99 U98 O99 K98 
5 5 0	BC..T.BC.PT..AAPT.YYY..U...O.UKK.O.U B99 T99 U98 O99 K97 
5 5 0	BC..TUBC.PTUAA.PTUYYYO.....O....KK.. B99 T99 U99 A99 K99 
5 5 0	BC..TUBC.PTUAA.PTUYYYO.....O...KK... B99 T99 U99 A99 K98 
5 5 0	BC..TUBC.PTUAA.PTUYYYO.....O..KK.... B99 T99 U99 A99 K97 
5 5 0	BC..TUBC.PTUAA.PTUYYYO.....O......KK B99 T99 U99 A99 K99 
5 5 0	BC..TUBC.PTU.AAPTUYYY......O...KKO.. B99 T99 U99 O99 K98 
5 5 0	BC..TUBC.PTU.AAPTUYYY......O..KK.O.. B99 T99 U99 O99 K97 
5 5 0	BC..TUBC.PTU.AAPTUYYY......O.....OKK B99 T99 U99 O99 K99 
5 5 0	BC..T.BC.PTUAA.PTUYYY..U...O...KKO.. B99 T99 A99 O99 K98 
5 5 0	BC..T.BC.PTUAA.PTUYYY..U...O..KK.O.. B99 T99 A99 O99 K97 
5 5 0	BC..T.BC.PTUAA.PTUYYY..U...O.....OKK B99 T99 A99 O99 K99 
5 5 0	BC..T.BC..TU.AAPTUYYYP.U...O...KKO.. B99 P99 T99 O99 K98 
5 5 0	BC..T.BC.PTU.AAPTU.YYY.U...O...KKO.. B99 T99 Y99 O99 K98 
5 5 0	BC..T.BC.PTU.AAPTU..YYYU...O...KKO.. B99 T99 Y98 O99 K98 
5 5 0	BC..T.BC..TU.AAPTUYYYP.U...O..KK.O.. B99 P99 T99 O99 K97 
5 5 0	BC..T.BC.PTU.AAPTU.YYY.U...O..KK.O.. B99 T99 Y99 O99 K97 
5 5 0	BC..T.BC.PTU.AAPTU..YYYU...O..KK.O.. B99 T99 Y98 O99 K97 
5 5 0	BC..T.BC..TU.AAPTUYYYP.U...O.....OKK B99 P99 T99 O99 K99 
5 5 0	BC..T.BC.PTU.AAPTU.YYY.U...O.....OKK B99 T99 Y99 O99 K99 
5 5 0	BC..T.BC.PTU.AAPTU..YYYU...O.....OKK B99 T99 Y98 O99 K99 
5 5 0	BC....BC.P..AA.P.UYYYOTU...OTU..KKT. B99 T98 U99 A99 K99 
5 5 0	BC....BC.P..AA.P.UYYYOTU...OTU.KK.T. B99 T98 U99 A99 K98 
5 5 0	BC....BC.PT.AA.PTUYYY.TU...O.U.KKO.. B99 U99 A99 O99 K98 
5 5 0	BC....BC.P..AA.P.UYYYOTU...OTUKK..T. B99 T98 U99 A99 K97 
5 5 0	BC....BC.PT.AA.PTUYYY.TU...O.UKK.O.. B99 U99 A99 O99 K97 
5 5 0	BC....BC.PT.AA.PTUYYY.TU...O.U...OKK B99 U99 A99 O99 K99 
5 5 0	BC....BC.P...AAP.UYYY.TU...OTU.KKOT. B99 T98 U99 O99 K98 
5 5 0	BC....BC..T..AAPTUYYYPTU...O.U.KKO.. B99 P99 U99 O99 K98 
5 5 0	BC....BC.PT..AAPTU.YYYTU...O.U.KKO.. B99 U99 Y99 O99 K98 
5 5 0	BC....BC.P...AAP.UYYY.TU...OTUKK.OT. B99 T98 U99 O99 K97 
5 5 0	BC....BC..T..AAPTUYYYPTU...O.UKK.O.. B99 P99 U99 O99 K97 
5 5 0	BC....BC.PT..AAPTU.YYYTU...O.UKK.O.. B99 U99 Y99 O99 K97 
5 5 0	BC....BC..T..AAPTUYYYPTU...O.U...OKK B99 P99 U99 O99 K99 
5 5 0	BC....BC.PT..AAPTU.YYYTU...O.U...OKK B99 U99 Y99 O99 K99 
5 5 0	BC....BC.P..AA.P..YYYOTU...OTU..KKTU B99 T98 U98 A99 K99 
5 5 0	BC....BC.P..AA.P..YYYOTU...OTU.KK.TU B99 T98 U98 A99 K98 
5 5 0	BC....BC.PT.AA.PT.YYY.TU...O.U.KKO.U B99 U98 A99 O99 K98 
5 5 0	BC....BC.P..AA.P..YYYOTU...OTUKK..TU B99 T98 U98 A99 K97 
5 5 0	BC....BC.PT.AA.PT.YYY.TU...O.UKK.O.U B99 U98 A99 O99 K97 
5 5 0	BC....BC.P...AAP..YYY.TU...OTU.KKOTU B99 T98 U98 O99 K98 
5 5 0	BC....BC..T..AAPT.YYYPTU...O.U.KKO.U B99 P99 U98 O99 K98 
5 5 0	BC....BC.PT..AAPT..YYYTU...O.U.KKO.U B99 U98 Y99 O99 K98 
5 5 0	BC....BC.P...AAP..YYY.TU...OTUKK.OTU B99 T98 U98 O99 K97 
5 5 0	BC....BC..T..AAPT.YYYPTU...O.UKK.O.U B99 P99 U98 O99 K97 
5 5 0	BC....BC.PT..AAPT..YYYTU...O.UKK.O.U B99 U98 Y99 O99 K97 
5 5 0	BC...UBC.P.UAA.P.UYYYOT....OT...KKT. B99 T98 U99 A99 K99 
5 5 0	BC...UBC.P.UAA.P.UYYYOT....OT..KK.T. B99 T98 U99 A99 K98 
5 5 0	BC...UBC.PTUAA.PTUYYY.T....O...KKO.. B99 U99 A99 O99 K98 
5 5 0	BC...UBC.P.UAA.P.UYYYOT....OT.KK..T. B99 T98 U99 A99 K97 
5 5 0	BC...UBC.PTUAA.PTUYYY.T....O..KK.O.. B99 U99 A99 O99 K97 
5 5 0	BC...UBC.PTUAA.PTUYYY.T....O.....OKK B99 U99 A99 O99 K99 
5 5 0	BC...UBC.P.U.AAP.UYYY.T....OT..KKOT. B99 T98 U99 O99 K98 
5 5 0	BC...UBC..TU.AAPTUYYYPT....O...KKO.. B99 P99 U99 O99 K98 
5 5 0	BC...UBC.PTU.AAPTU.YYYT....O...KKO.. B99 U99 Y99 O99 K98 
5 5 0	BC...UBC.P.U.AAP.UYYY.T....OT.KK.OT. B99 T98 U99 O99 K97 
5 5 0	BC...UBC..TU.AAPTUYYYPT....O..KK.O.. B99 P99 U99 O99 K97 
5 5 0	BC...UBC.PTU.AAPTU.YYYT....O..KK.O.. B99 U99 Y99 O99 K97 
5 5 0	BC...UBC..TU.AAPTUYYYPT....O.....OKK B99 P99 U99 O99 K99 
5 5 0	BC...UBC.PTU.AAPTU.YYYT....O.....OKK B99 U99 Y99 O99 K99 
5 5 0	BC....BC.P.UAA.P.UYYY.TU...OT..KKOT. B99 T98 A99 O99 K98 
5 5 0	BC....BC..TUAA.PTUYYYPTU...O...KKO.. B99 P99 A99 O99 K98 
5 5 0	BC....BC.PTUAA.PTU.YYYTU...O...KKO.. B99 A99 Y99 O99 K98 
5 5 0	BC....BC.P.UAA.P.UYYY.TU...OT.KK.OT. B99 T98 A99 O99 K97 
5 5 0	BC....BC..TUAA.PTUYYYPTU...O..KK.O.. B99 P99 A99 O99 K97 
5 5 0	BC....BC.PTUAA.PTU.YYYTU...O..KK.O.. B99 A99 Y99 O99 K97 
5 5 0	BC....BC..TUAA.PTUYYYPTU...O.....OKK B99 P99 A99 O99 K99 
5 5 0	BC....BC.PTUAA.PTU.YYYTU...O.....OKK B99 A99 Y99 O99 K99 
5 5 0	BC....BC...U.AAP.UYYYPTU...OT..KKOT. B99 P99 T98 O99 K98 
5 5 0	BC....BC.P.U.AAP.U.YYYTU...OT..KKOT. B99 T98 Y99 O99 K98 
5 5 0	BC....BC...U.AAP.UYYYPTU...OT.KK.OT. B99 P99 T98 O99 K97 
5 5 0	BC....BC.P.U.AAP.U.YYYTU...OT.KK.OT. B99 T98 Y99 O99 K97 
5 5 0	...P..BC.P..BCAATUYYYOTU...OTU...KK. C99 P99 A99 T99 U99 
5 5 0	.C.P..BC.P..B.AATUYYYOTU...OTU..KK.. P99 T99 U99 A99 K99 
5 5 0	.C.P..BC.P..B.AATUYYYOTU...OTU.KK... P99 T99 U99 A99 K98 
5 5 0	.C.P..BC.P..B.AATUYYYOTU...OTUKK.... P99 T99 U99 A99 K97 
5 5 0	.C.P..BC.P..B.AATUYYYOTU...OTU....KK P99 T99 U99 A99 K99 
5 5 0	.C.P..BC.P..BAAOTUYYYOTU....TU..KK.. P99 T99 U99 O99 K99 
5 5 0	.C.P..BC.P..BAAOTUYYYOTU....TU.KK... P99 T99 U99 O99 K98 
5 5 0	.C.P..BC.P..BAAOTUYYYOTU....TUKK.... P99 T99 U99 O99 K97 
5 5 0	.C.P..BC.P..BAAOTUYYYOTU....TU....KK P99 T99 U99 O99 K99 
5 5 0	.C.P..BC.P..BAA.TUYYY.TU...OTU.KKO.. P99 T99 U99 O99 K98 
5 5 0	.C.P..BC.P..BAA.TUYYY.TU...OTUKK.O.. P99 T99 U99 O99 K97 
5 5 0	.C.P..BC.P..BAA.TUYYY.TU...OTU...OKK P99 T99 U99 O99 K99 
5 5 0	...P..BC.P..BCAAT.YYYOTU...OTU...KKU C99 P99 A99 T99 U98 
5 5 0	.C.P..BC.P..B.AAT.YYYOTU...OTU..KK.U P99 T99 U98 A99 K99 
5 5 0	.C.P..BC.P..B.AAT.YYYOTU...OTU.KK..U P99 T99 U98 A99 K98 
5 5 0	.C.P..BC.P..B.AAT.YYYOTU...OTUKK...U P99 T99 U98 A99 K97 
5 5 0	.C.P..BC.P..BAAOT.YYYOTU....TU..KK.U P99 T99 U98 O99 K99 
5 5 0	.C.P..BC.P..BAAOT.YYYOTU....TU.KK..U P99 T99 U98 O99 K98 
5 5 0	.C.P..BC.P..BAAOT.YYYOTU....TUKK...U P99 T99 U98 O99 K97 
5 5 0	.C.P..BC.P..BAA.T.YYY.TU...OTU.KKO.U P99 T99 U98 O99 K98 
5 5 0	.C.P..BC.P..BAA.T.YYY.TU...OTUKK.O.U P99 T99 U98 O99 K97 
5 5 0	...P.UBC.P.UBCAATUYYYOT....OT....KK. C99 P99 U99 A99 T99 
5 5 0	.C.P.UBC.P.UB.AATUYYYOT....OT...KK.. P99 T99 U99 A99 K99 
5 5 0	.C.P.UBC.P.UB.AATUYYYOT....OT..KK... P99 T99 U99 A99 K98 
5 5 0	.C.P.UBC.P.UB.AATUYYYOT....OT.KK.... P99 T99 U99 A99 K97 
5 5 0	.C.P.UBC.P.UB.AATUYYYOT....OT.....KK P99 T99 U99 A99 K99 
5 5 0	.C.P.UBC.P.UBAAOTUYYYOT.....T...KK.. P99 T99 U99 O99 K99 
5 5 0	.C.P.UBC.P.UBAAOTUYYYOT.....T..KK... P99 T99 U99 O99 K98 
5 5 0	.C.P.UBC.P.UBAAOTUYYYOT.....T.KK.... P99 T99 U99 O99 K97 
5 5 0	.C.P.UBC.P.UBAAOTUYYYOT.....T.....KK P99 T99 U99 O99 K99 
5 5 0	.C.P.UBC.P.UBAA.TUYYY.T....OT..KKO.. P99 T99 U99 O99 K98 
5 5 0	.C.P.UBC.P.UBAA.TUYYY.T....OT.KK.O.. P99 T99 U99 O99 K97 
5 5 0	.C.P.UBC.P.UBAA.TUYYY.T....OT....OKK P99 T99 U99 O99 K99 
5 5 0	...P..BC.P.UBCAATUYYYOTU...OT...KK.. C99 P99 A99 T99 K99 
5 5 0	...P..BC.P.UBCAATUYYYOTU...OT..KK... C99 P99 A99 T99 K98 
5 5 0	...P..BC.P.UBCAATUYYYOTU...OT.KK.... C99 P99 A99 T99 K97 
5 5 0	...P..BC.P.UBCAATUYYYOTU...OT.....KK C99 P99 A99 T99 K99 
5 5 0	.C.P..BC.P.UB.AATUYYY.TU...OT..KKO.. P99 T99 A99 O99 K98 
5 5 0	.C.P..BC.P.UB.AATUYYY.TU...OT.KK.O.. P99 T99 A99 O99 K97 
5 5 0	.C.P..BC.P.UB.AATUYYY.TU...OT....OKK P99 T99 A99 O99 K99 
