3 0 3	U.B..DU.BCCDAABT.DFW.TKKFWLLL..W..GG 
11 10 1	...T...CCT.DU.BAADUWBKKDFWBLLLFW..GG U98 T98 D99 C98 A97 B96 K99 F99 L99 
11 10 1	...T.DCC.T.DUWAA.DUWBKK.FWBLLLF.B.GG U98 T98 C97 A98 W99 B97 K99 F99 L99 
11 10 1	..BT.DCCBT.DUWBAADUW..KKFW.LLLF...GG U98 T98 C97 A97 W99 B94 F99 L99 
11 10 1	...T..CC.T.DU..AADUWBKKDFWBLLLFWB.GG U98 T98 D99 C97 A97 B97 K99 F99 L99 
11 10 1	...T.DCCBT.DU.BAADUWB.KKFW.LLLFWGG.. U98 T98 C97 A97 B95 F99 L99 G98 
11 10 1	U..T..UCCT.D..BAAD.WBKKDFWBLLLFWGG.. B96 D99 C98 A97 T98 F99 K99 L99 G98 
11 10 1	...T..UCCT.DU.BAADFWBKKDFWBLLL.WGG.. U99 T98 C98 D99 B96 A97 K99 L99 G98 
11 10 1	...T..CC.T.DU.AA.DUWBKKDFWBLLLFWB.GG U98 T98 D99 C97 A98 B97 K99 F99 L99 
11 10 1	...T...CCT.DU.AA.DUWBKKDFWBLLLFWBGG. U98 T98 D99 C98 A98 B97 K99 F99 L99 G99 
11 10 1	...T.DUCCT.DUW.AAD.WBKK.FWBLLLF.BGG. U99 T98 C98 W99 A97 B97 K99 F99 L99 G99 
11 10 1	..BT.DCCBT.DU.BAADUW..KKFWLLL.FW..GG U98 T98 C97 A97 B94 F99 L98 
11 10 1	U..T..UCCT.DFWBAADFWBKKD.WBLLL....GG B96 D99 C98 A97 T98 F99 W99 K99 L99 
11 10 1	...T.DCC.T.DUAA..DUWBKK.FWBLLLFWBGG. U98 T98 C97 A99 B97 K99 F99 L99 G99 
11 10 1	U..T.DUCCT.D.WAA.DFWB.KKFWBLLLGGB... B95 C98 A96 T98 W99 L99 G96 
11 10 1	U..T..UCCT.D.WBAADFWBKKDFWBLLL...GG. B96 D99 C98 A97 T98 W99 K99 L99 G99 
11 10 1	...T..UCCT.DUWBAADFWBKKDFWBLLL....GG U99 T98 D99 C98 A97 W99 B96 K99 L99 
11 10 1	...T..UCCT.DU.AA.D.WBKKDFWBLLLFWBGG. U99 T98 D99 C98 A98 B97 K99 F99 L99 G99 
11 10 1	...T.DCCBT.DUWBAADUWB.KKFW.LLLF...GG U98 T98 C97 A97 W99 B95 F99 L99 
11 10 1	...T.DCC.T.DU.AA.DUWBKK.FWBLLLFWBGG. U98 T98 C97 A98 B97 K99 F99 L99 G99 
11 10 1	...T.DCC.T.DUWBAADUWB.KKFWBLLLF...GG U98 T98 C97 A97 W99 B96 F99 L99 
11 10 1	..BT.DCCBT.DU.BAADUWKK..FW.LLLFW..GG U98 T98 C97 A97 B94 K98 F99 L99 
11 10 1	...T.DUCCT.DUW.AADFWB.KKFWBLLLGGB... U99 T98 C98 W99 A97 B95 L99 G96 
11 10 1	...T.D.CCT.DUW.AADUWBKK.FWBLLLF.BGG. U98 T98 C98 W99 A97 B97 K99 F99 L99 G99 
11 9 2	U..T..UCCT.DAAB..D.WBKKDFWBLLLFW.GG. B96 D99 C98 T98 F99 K99 L99 G99 
11 9 2	.....DCC.T.DUAAT.DUWBKK.FWBLLLFWBGG. U98 C97 A99 T99 B97 K99 F99 L99 G99 
11 9 2	.....DUCCT.DUAAT.D.WB.KKFWBLLLFWBGG. T97 U99 C98 A99 B97 F99 L99 G99 
11 9 2	.....DUCCT.DUAAT.DFWBKK.FWBLLL.WBGG. T97 U99 C98 A99 B97 K99 L99 G99 
11 9 2	.....D.CCT.DUAAT.DUWBKK.FWBLLLFWB.GG T97 C98 U98 A99 B97 K99 F99 L99 
11 9 2	......UCCT.DUAAT.DFWBKKDFWBLLL.WB.GG T97 U99 C98 D99 A99 B97 K99 L99 
11 9 2	U.....UCCT.DAA.T.D.WBKKDFWBLLLFWBGG. B97 D99 C98 T97 F99 K99 L99 G99 
11 9 2	U.....UCCT.D.AAT.DFWBKKDFWBLLL.WBGG. B97 D99 C98 A99 T97 K99 L99 G99 
11 9 2	U....DUCCT.D.AAT.D.WBKK.FWBLLLFWBGG. B97 C98 A99 T97 F99 K99 L99 G99 
11 9 2	......CC.T.DUAAT.DUWBKKDFWBLLLFWB.GG D99 C97 T99 U98 A99 B97 K99 F99 L99 
11 9 2	U....DUCCT.DFAAT.DFWBKK..WBLLL.WBGG. B97 C98 A99 T97 F99 K99 L99 G99 
11 9 2	.....D.CCT.DUAAT.DUWB.KKFWBLLLFWBGG. T97 C98 U98 A99 B97 F99 L99 G99 
11 9 2	.....DUCCT.DUAAT.D.WBKK.FWBLLLFWB.GG T97 U99 C98 A99 B97 K99 F99 L99 
11 9 2	U..T..UCCT.DAAB..D.WBKKDFWBLLLFWGG.. B96 D99 C98 T98 F99 K99 L99 G98 
11 9 2	U.....UCCT.D.AAT.D.WBKKDFWBLLLFWB.GG B97 D99 C98 A99 T97 F99 K99 L99 
11 9 2	U.....UCCT.DFAAT.DFWBKKD.WBLLL.WB.GG B97 D99 C98 A99 T97 F99 K99 L99 
11 8 3	U.....UCCT.DAABT.D.WBKKDFWBLLLFWGG.. B98 D99 C98 T99 F99 K99 L99 G98 
11 8 3	U.....UCCT.DAABT.DFWBKKDFWBLLL.W..GG B96 D99 C98 T97 K99 L99 
11 8 3	U....DUCCT.DAABT.DFWBKK.FWBLLL.W.GG. B96 C98 T97 K99 L99 G99 
11 8 3	U....DUCCT.DAABT.D.WBKK.FWBLLLFW..GG B96 C98 T97 F99 K99 L99 
11 8 3	U....DUCCT.DAABT.D.WB.KKFWBLLLFW.GG. B96 C98 T97 F99 L99 G99 
12 11 1	...T.DCC.T.DU.BAADUWBKK.FWBLLLFWGG.. U98 T98 C97 B96 A97 K99 F99 L99 G98 
12 11 1	...T.DCCBT.DUWBAADUWB.KKFW.LLLF..GG. U98 T98 C97 A97 W99 B95 F99 L99 G99 
12 11 1	..BT.DCCBT.DUWBAADUW.KK.FW.LLLF...GG U98 T98 C97 A97 W99 B94 K99 F99 L99 
12 11 1	...T..UCCT.DU.BAAD.WBKKDFWBLLLFWGG.. U99 T98 C98 D99 B96 A97 K99 F99 L99 G98 
12 11 1	...T.D.CCT.DUWBAADUWBKK.FWBLLLF.GG.. U98 T98 C98 A97 W99 B96 K99 F99 L99 G98 
12 11 1	..BT.DCCBT.DU.BAADUWKK..FW.LLLFWGG.. U98 T98 C97 A97 B94 K98 F99 L99 G98 
12 11 1	U..T..UCCT.DFWBAADFWBKKD.WBLLLGG.... B96 D99 C98 A97 T98 F99 W99 K99 L99 G96 
12 11 1	...T..UCCT.DUWAA.D.WBKKDFWBLLLF.BGG. U99 T98 D99 C98 A98 W99 B97 K99 F99 L99 G99 
12 11 1	U..T.DUCCT.DFW.AADFWBKK..WBLLLGGB... B95 C98 A97 T98 F99 W99 K99 L99 G96 
12 11 1	U..T..UCCT.DFWBAADFWBKKD.WBLLL...GG. B96 D99 C98 A97 T98 F99 W99 K99 L99 G99 
12 11 1	...T..UCCT.DUW.AAD.WBKKDFWBLLLF.BGG. U99 T98 C98 D99 W99 A97 F99 B97 K99 L99 G99 
12 11 1	...T.DUCCT.DUW.AADFWBKK.FWBLLLGGB... U99 T98 C98 W99 A97 B95 K99 L99 G96 
12 11 1	U..T.DUCCT.D.WAA.DFWBKK.FWBLLLGGB... B95 C98 A96 T98 W99 K99 L99 G96 
12 11 1	U..T..UCCT.DFWBAADFWBKKD.WBLLL..GG.. B96 D99 C98 A97 T98 F99 W99 K99 L99 G98 
12 11 1	...T...CCT.DUWAA.DUWBKKDFWBLLLF.BGG. U98 T98 D99 C98 A98 W99 B97 K99 F99 L99 G99 
12 11 1	...T.DUCCT.DUWBAAD.WBKK.FWBLLLF..GG. U99 T98 C98 A97 W99 B96 K99 F99 L99 G99 
12 11 1	...T.DCCBT.DUWBAADUWBKK.FW.LLLF...GG U98 T98 C97 A97 W99 B95 K99 F99 L99 
12 11 1	...T.D.CCT.DUWBAADUWBKK.FWBLLLF..GG. U98 T98 C98 W99 B96 A97 K99 F99 L99 G99 
12 11 1	..BT.DCCBT.DU.BAADUWKK..FW.LLLFW.GG. U98 T98 C97 A97 B94 K98 F99 L99 G99 
12 11 1	...T.DCC.T.DUWBAADUWBKK.FWBLLLF...GG U98 T98 C97 A97 W99 B96 K99 F99 L99 
12 11 1	..BT.DCCBT.DUWBAADUW..KKFW.LLLF..GG. U98 T98 C97 A97 W99 B94 F99 L99 G99 
12 11 1	...T..CC.T.DUW.AADUWBKKDFWBLLLF.B.GG U98 T98 D99 C97 A97 W99 B97 K99 F99 L99 
12 11 1	...T..UCCT.DUWBAAD.WBKKDFWBLLLF...GG U99 T98 C98 D99 B96 A97 W99 K99 F99 L99 
12 11 1	..BT.DCCBT.DU.BAADUW.KK.FW.LLLFW.GG. U98 T98 C97 A97 B94 K99 F99 L99 G99 
12 11 1	..BT.DCCBT.DU.BAADUW..KKFWLLL.FWGG.. U98 T98 C97 A97 B94 F99 L98 G98 
12 11 1	..BT.DCCBT.DU.BAADUW..KKFWLLL.FW.GG. U98 T98 C97 A97 B94 F99 L98 G99 
12 11 1	...T...CCT.DU.BAADUWBKKDFWBLLLFWGG.. U98 T98 D99 C98 A97 B96 K99 F99 L99 G98 
12 11 1	...T.DUCCT.DUWBAAD.WBKK.FWBLLLF.GG.. U99 T98 C98 B96 A97 F99 W99 K99 L99 G98 
12 11 1	U..T..UCCT.D.WBAAD.WBKKDFWBLLLFGG... B96 D99 C98 A97 T98 F99 W99 K99 L99 G97 
12 11 1	U..T..UCCT.D.WBAAD.WBKKDFWBLLLF.GG.. B96 D99 C98 A97 T98 F99 W99 K99 L99 G98 
12 11 1	...T.DCC.T.DUWBAADUWB.KKFWBLLLFGG... U98 T98 C97 W99 B96 A97 F99 L99 G97 
12 11 1	..BT..CCBT.DU.BAADUWKK.DFW.LLLFW..GG U98 T98 D99 C97 A97 B94 K98 F99 L99 
12 11 1	..BT.DCCBT.DU.BAADUW.KK.FW.LLLFWGG.. U98 T98 C97 A97 B94 K99 F99 L99 G98 
12 11 1	...T.D.CCT.DUWBAADUWBKK.FWBLLLFGG... U98 T98 C98 W99 B96 A97 K99 F99 L99 G97 
12 11 1	...T.DUCCT.DUWBAAD.WBKK.FWBLLLFGG... U99 T98 C98 W99 B96 A97 K99 F99 L99 G97 
12 11 1	...T.DCC.T.DU.BAADUWBKK.FWBLLLFW.GG. U98 T98 C97 A97 B96 K99 F99 L99 G99 
12 11 1	..BT.DCCBT.DUWBAADUW..KKFW.LLLF.GG.. U98 T98 C97 A97 W99 B94 F99 L99 G98 
12 11 1	...T.DCC.T.DUWBAADUWB.KKFWBLLLF.GG.. U98 T98 C97 B96 A97 W99 F99 L99 G98 
12 11 1	...T..CC.T.DUWAA.DUWBKKDFWBLLLF.B.GG U98 T98 C97 D99 W99 A98 B97 K99 F99 L99 
12 11 1	...T.DCCBT.DU.BAADUWBKK.FW.LLLFW.GG. U98 T98 C97 A97 B95 K99 F99 L99 G99 
12 11 1	...T.DCC.T.DUWBAADUWB.KKFWBLLLF..GG. U98 T98 C97 A97 W99 B96 F99 L99 G99 
12 11 1	...T...CCT.DUWBAADUWBKKDFWBLLLF...GG U98 T98 C98 D99 W99 B96 A97 K99 F99 L99 
12 11 1	...T..UCCT.DUWBAADFWBKKDFWBLLL.GG... U99 T98 D99 C98 W99 B96 A97 K99 L99 G97 
12 11 1	...T.DCCBT.DU.BAADUWB.KKFWLLL.FW.GG. U98 T98 C97 A97 B95 F99 L98 G99 
12 11 1	U..T..UCCT.DFWBAADFWBKKD.WBLLL.GG... B96 D99 C98 A97 T98 F99 W99 K99 L99 G97 
12 11 1	...T.DCCBT.DU.BAADUWB.KKFWLLL.FWGG.. U98 T98 C97 A97 B95 F99 L98 G98 
12 11 1	U..T.DUCCT.DFWAA.DFWB.KK.WBLLLGGB... B95 C98 A96 T98 F99 W99 L99 G96 
12 11 1	...T.DCCBT.DUWBAADUWB.KKFWLLL.F...GG U98 T98 C97 A97 W99 B95 F99 L98 
12 11 1	...T.DCCBT.DU.BAADUWBKK.FWLLL.FW..GG U98 T98 C97 A97 B95 K99 F99 L98 
12 11 1	...T..UCCT.DUWBAADFWBKKDFWBLLL..GG.. U99 T98 C98 D99 W99 B96 A97 K99 L99 G98 
12 11 1	..BT.DCCBT.DU.BAADUW.KK.FWLLL.FW..GG U98 T98 C97 A97 B94 K99 F99 L98 
12 11 1	...T.DCCBT.DUWBAADUWB.KKFW.LLLF.GG.. U98 T98 C97 A97 W99 B95 F99 L99 G98 
12 11 1	...T...CCT.DUW.AADUWBKKDFWBLLLF.BGG. U98 T98 C98 D99 A97 W99 B97 K99 F99 L99 G99 
12 11 1	...T.DCCBT.DU.BAADUWBKK.FW.LLLFWGG.. U98 T98 C97 A97 B95 K99 F99 L99 G98 
12 11 1	...T..CC.T.DU..AADUWBKKDFWBLLLFWBGG. U98 T98 C97 D99 A97 B97 K99 F99 L99 G99 
12 11 1	...T..CC.T.DU.BAADUWBKKDFWBLLLFW..GG U98 T98 D99 C97 A97 B96 K99 F99 L99 
12 11 1	...T..CCBT.DU.BAADUWBKKDFW.LLLFW..GG U98 T98 D99 C97 A97 B95 K99 F99 L99 
12 11 1	..BT.DCCBT.DUWBAADUW..KKFWLLL.F...GG U98 T98 C97 A97 W99 B94 F99 L98 
12 11 1	..BT..CCBT.DU.BAADUW.KKDFW.LLLFW..GG U98 T98 D99 C97 A97 B94 K99 F99 L99 
12 11 1	U..T..UCCT.D.W.AADFWBKKDFWBLLLGGB... B95 D99 C98 A97 T98 W99 K99 L99 G96 
12 11 1	..BT.DCCBT.DUWBAADUW..KKFW.LLLFGG... U98 T98 C97 A97 W99 B94 F99 L99 G97 
12 11 1	...T..UCCT.DU.BAAD.WBKKDFWBLLLFW.GG. U99 T98 C98 D99 A97 B96 K99 F99 L99 G99 
12 11 1	..BT.DCCBT.DUWBAADUWKK..FW.LLLF...GG U98 T98 C97 A97 W99 B94 K98 F99 L99 
12 11 1	...T..CC.T.DU.AA.DUWBKKDFWBLLLFWBGG. U98 T98 D99 C97 A98 B97 K99 F99 L99 G99 
12 11 1	...T..UCCT.DUWBAADFWBKKDFWBLLL...GG. U99 T98 C98 D99 W99 A97 B96 K99 L99 G99 
12 11 1	U..T..UCCT.D.WBAAD.WBKKDFWBLLLF..GG. B96 D99 C98 A97 T98 F99 W99 K99 L99 G99 
12 11 1	..BT.DCCBT.DU.BAADUWKK..FWLLL.FW..GG U98 T98 C97 A97 B94 K98 F99 L98 
12 11 1	...T...CCT.DU.BAADUWBKKDFWBLLLFW.GG. U98 T98 C98 D99 A97 B96 K99 F99 L99 G99 
12 11 1	...T.DUCCT.DUWAA.DFWB.KKFWBLLLGGB... U99 T98 C98 W99 A96 B95 L99 G96 
12 11 1	...T.DCCBT.DUWBAADUWB.KKFW.LLLFGG... U98 T98 C97 A97 W99 B95 F99 L99 G97 
12 11 1	...T..CC.T.DUAA..DUWBKKDFWBLLLFWBGG. U98 T98 D99 C97 A99 B97 K99 F99 L99 G99 
12 11 1	...T.DCC.T.DUWAA.DUWBKK.FWBLLLF.BGG. U98 T98 C97 A98 W99 B97 K99 F99 L99 G99 
12 11 1	...T..UCCT.DUWBAADFWBKKDFWBLLLGG.... U99 T98 D99 C98 B96 A97 W99 K99 L99 G96 
12 11 1	...T.DCC.T.DUW.AADUWBKK.FWBLLLF.BGG. U98 T98 C97 A97 W99 B97 K99 F99 L99 G99 
12 10 2	U.....UCCT.DFAAT.DFWBKKD.WBLLL.WBGG. B97 D99 C98 A99 T97 F99 K99 L99 G99 
12 10 2	......CC.T.DUAAT.DUWBKKDFWBLLLFWBGG. D99 C97 T99 U98 A99 B97 K99 F99 L99 G99 
12 10 2	U.....UCCT.D.AAT.D.WBKKDFWBLLLFWBGG. B97 D99 C98 A99 T97 F99 K99 L99 G99 
12 10 2	......UCCT.DUAAT.DFWBKKDFWBLLL.WBGG. T97 U99 C98 D99 A99 B97 K99 L99 G99 
12 10 2	.....DUCCT.DUAAT.D.WBKK.FWBLLLFWBGG. T97 U99 C98 A99 B97 K99 F99 L99 G99 
12 10 2	......UCCT.DUAAT.D.WBKKDFWBLLLFWB.GG T97 U99 C98 D99 A99 B97 K99 F99 L99 
12 10 2	.....D.CCT.DUAAT.DUWBKK.FWBLLLFWBGG. T97 C98 U98 A99 B97 K99 F99 L99 G99 
12 10 2	.......CCT.DUAAT.DUWBKKDFWBLLLFWB.GG T97 C98 D99 U98 A99 B97 K99 F99 L99 
12 9 3	U.....UCCT.DAABT.DFWBKKDFWBLLL.W.GG. B96 D99 C98 T97 K99 L99 G99 
12 9 3	U....DUCCT.DAABT.D.WBKK.FWBLLLFW.GG. B96 C98 T97 F99 K99 L99 G99 
12 9 3	U.....UCCT.DAABT.D.WBKKDFWBLLLFW..GG B96 D99 C98 T97 F99 K99 L99 
13 12 1	...T.DCCBT.DUWBAADUWB.KKFWLLL.F..GG. U98 T98 C97 A97 W99 B95 F99 L98 G99 
13 12 1	..BT.DCCBT.DU.BAADUWKK..FWLLL.FWGG.. U98 T98 C97 A97 B94 K98 F99 L98 G98 
13 13 0	..BT..CCBT..U.BAA.UWKK.DFWLLLDFWGG.D U98 T98 D97 C97 A97 B94 K98 F99 L98 G98 
13 12 1	U..T..UCCT.D.WAA.DFWBKKDFWBLLLGGB... B95 D99 C98 A96 T98 W99 K99 L99 G96 
13 12 1	..BT.DCCBT.DUWBAADUWKK..FW.LLLF..GG. U98 T98 C97 A97 W99 B94 K98 F99 L99 G99 
13 12 1	...T.DCC.T.DUWBAADUWBKK.FWBLLLF.GG.. U98 T98 C97 B96 A97 W99 K99 F99 L99 G98 
13 12 1	...T...CCT.DUWBAADUWBKKDFWBLLLF.GG.. U98 T98 D99 C98 A97 W99 B96 K99 F99 L99 G98 
13 12 1	..BT.DCCBT.DUWBAADUW.KK.FW.LLLFGG... U98 T98 C97 A97 W99 B94 K99 F99 L99 G97 
13 12 1	...T..UCCT.DUWBAAD.WBKKDFWBLLLF.GG.. U99 T98 C98 D99 B96 A97 W99 K99 F99 L99 G98 
13 12 1	..BT.DCCBT.DUWBAADUWKK..FW.LLLF.GG.. U98 T98 C97 A97 W99 B94 K98 F99 L99 G98 
13 12 1	...T.DUCCT.DUWAA.DFWBKK.FWBLLLGGB... U99 T98 C98 W99 A96 B95 K99 L99 G96 
13 12 1	..BT.DCCBT.DUWBAADUW..KKFWLLL.F.GG.. U98 T98 C97 A97 W99 B94 F99 L98 G98 
13 12 1	U..T..UCCT.DFW.AADFWBKKD.WBLLLGGB... B95 D99 C98 A97 T98 F99 W99 K99 L99 G96 
13 12 1	U..T.DUCCT.DFWAA.DFWBKK..WBLLLGGB... B95 C98 A96 T98 F99 W99 K99 L99 G96 
13 12 1	...T..UCCT.DUWBAAD.WBKKDFWBLLLF..GG. U99 T98 C98 D99 W99 A97 F99 B96 K99 L99 G99 
13 12 1	..BT..CCBT.DU.BAADUWKK.DFW.LLLFWGG.. U98 T98 D99 C97 A97 B94 K98 F99 L99 G98 
13 12 1	...T..UCCT.DUW.AADFWBKKDFWBLLLGGB... U99 T98 D99 C98 W99 A97 B95 K99 L99 G96 
13 12 1	...T.DCC.T.DUWBAADUWBKK.FWBLLLF..GG. U98 T98 C97 W99 B96 A97 K99 F99 L99 G99 
13 12 1	..BT..CCBT.DU.BAADUWKK.DFWLLL.FW..GG U98 T98 D99 C97 A97 B94 K98 F99 L98 
13 12 1	...T..CC.T.DUWAA.DUWBKKDFWBLLLF.BGG. U98 T98 D99 C97 A98 W99 B97 K99 F99 L99 G99 
13 12 1	...T.DCCBT.DUWBAADUWBKK.FW.LLLFGG... U98 T98 C97 A97 W99 B95 K99 F99 L99 G97 
13 12 1	..BT.DCCBT.DUWBAADUW.KK.FW.LLLF.GG.. U98 T98 C97 A97 W99 B94 K99 F99 L99 G98 
13 12 1	..BT.DCCBT.DU.BAADUWKK..FWLLL.FW.GG. U98 T98 C97 A97 B94 K98 F99 L98 G99 
13 12 1	...T.DCC.T.DUWBAADUWBKK.FWBLLLFGG... U98 T98 C97 A97 W99 B96 K99 F99 L99 G97 
13 12 1	..BT.DCCBT.DU.BAADUW.KK.FWLLL.FWGG.. U98 T98 C97 A97 B94 K99 F99 L98 G98 
13 12 1	..BT..CCBT.DU.BAADUW.KKDFW.LLLFW.GG. U98 T98 D99 C97 A97 B94 K99 F99 L99 G99 
13 12 1	...T..CC.T.DUWBAADUWBKKDFWBLLLF...GG U98 T98 D99 C97 A97 W99 B96 K99 F99 L99 
13 12 1	..BT.DCCBT.DUWBAADUW..KKFWLLL.F..GG. U98 T98 C97 A97 W99 B94 F99 L98 G99 
13 12 1	..BT..CCBT.DU.BAADUWKK.DFW.LLLFW.GG. U98 T98 D99 C97 A97 B94 K98 F99 L99 G99 
13 12 1	...T.DCCBT.DUWBAADUWBKK.FW.LLLF.GG.. U98 T98 C97 A97 W99 B95 K99 F99 L99 G98 
13 12 1	...T..UCCT.DUWBAAD.WBKKDFWBLLLFGG... U99 T98 C98 D99 B96 A97 W99 K99 F99 L99 G97 
13 12 1	...T.DCCBT.DU.BAADUWBKK.FWLLL.FWGG.. U98 T98 C97 A97 B95 K99 F99 L98 G98 
13 13 0	...T..CCBT..U.BAA.UWBKKDFWLLLDFWGG.D U98 T98 D97 C97 A97 B95 K99 F99 L98 G98 
13 12 1	..BT.DCCBT.DUWBAADUW.KK.FW.LLLF..GG. U98 T98 C97 A97 W99 B94 K99 F99 L99 G99 
13 12 1	...T..CCBT.DUWBAADUWBKKDFW.LLLF...GG U98 T98 D99 C97 A97 W99 B95 K99 F99 L99 
13 12 1	..BT.DCCBT.DUWBAADUW.KK.FWLLL.F...GG U98 T98 C97 A97 W99 B94 K99 F99 L98 
13 12 1	...T...CCT.DUWBAADUWBKKDFWBLLLFGG... U98 T98 C98 D99 W99 B96 A97 K99 F99 L99 G97 
13 12 1	...T.DCCBT.DUWBAADUWBKK.FW.LLLF..GG. U98 T98 C97 A97 W99 B95 K99 F99 L99 G99 
13 12 1	...T..CCBT.DU.BAADUWBKKDFWLLL.FW..GG U98 T98 D99 C97 A97 B95 K99 F99 L98 
13 12 1	..BT..CCBT.DU.BAADUW.KKDFW.LLLFWGG.. U98 T98 D99 C97 A97 B94 K99 F99 L99 G98 
13 12 1	..BT..CCBT.DU.BAADUW.KKDFWLLL.FW..GG U98 T98 D99 C97 A97 B94 K99 F99 L98 
13 12 1	...T.DCCBT.DUWBAADUWB.KKFWLLL.FGG... U98 T98 C97 A97 W99 B95 F99 L98 G97 
13 12 1	..BT..CCBT.DUWBAADUWKK.DFW.LLLF...GG U98 T98 D99 C97 A97 W99 B94 K98 F99 L99 
13 12 1	...T.DCCBT.DUWBAADUWBKK.FWLLL.F...GG U98 T98 C97 A97 W99 B95 K99 F99 L98 
13 12 1	...T.DCCBT.DU.BAADUWBKK.FWLLL.FW.GG. U98 T98 C97 A97 B95 K99 F99 L98 G99 
13 12 1	...T..CCBT.DU.BAADUWBKKDFW.LLLFW.GG. U98 T98 D99 C97 A97 B95 K99 F99 L99 G99 
13 12 1	..BT.DCCBT.DUWBAADUW..KKFWLLL.FGG... U98 T98 C97 A97 W99 B94 F99 L98 G97 
13 12 1	...T.DCCBT.DUWBAADUWB.KKFWLLL.F.GG.. U98 T98 C97 A97 W99 B95 F99 L98 G98 
13 12 1	..BT..CCBT.DUWBAADUW.KKDFW.LLLF...GG U98 T98 D99 C97 A97 W99 B94 K99 F99 L99 
13 12 1	..BT..CCBT..U.BAADUWKK.DFWLLLDFW..GG U98 T98 D98 C97 A97 B94 K98 F99 L98 
13 12 1	..BT..CCBT..U.BAADUW.KKDFWLLLDFW..GG U98 T98 D98 C97 A97 B94 K99 F99 L98 
13 12 1	...T..CC.T.DU.BAADUWBKKDFWBLLLFWGG.. U98 T98 D99 C97 B96 A97 K99 F99 L99 G98 
13 12 1	...T..CCBT.DU.BAADUWBKKDFW.LLLFWGG.. U98 T98 D99 C97 A97 B95 K99 F99 L99 G98 
13 12 1	...T..CC.T.DU.BAADUWBKKDFWBLLLFW.GG. U98 T98 D99 C97 A97 B96 K99 F99 L99 G99 
13 12 1	..BT.DCCBT.DU.BAADUW.KK.FWLLL.FW.GG. U98 T98 C97 A97 B94 K99 F99 L98 G99 
13 13 0	..BT..CCBT..U.BAA.UW.KKDFWLLLDFW.GGD U98 T98 D97 C97 A97 B94 K99 F99 L98 G99 
13 12 1	..BT.DCCBT.DUWBAADUWKK..FW.LLLFGG... U98 T98 C97 A97 W99 B94 K98 F99 L99 G97 
13 12 1	...T...CCT.DUWBAADUWBKKDFWBLLLF..GG. U98 T98 D99 C98 W99 B96 A97 K99 F99 L99 G99 
13 12 1	..BT.DCCBT.DUWBAADUWKK..FWLLL.F...GG U98 T98 C97 A97 W99 B94 K98 F99 L98 
13 12 1	...T..CCBT..U.BAADUWBKKDFWLLLDFW..GG U98 T98 D98 C97 A97 B95 K99 F99 L98 
13 12 1	...T..CC.T.DUW.AADUWBKKDFWBLLLF.BGG. U98 T98 D99 C97 A97 W99 B97 K99 F99 L99 G99 
13 11 2	......UCCT.DUAAT.D.WBKKDFWBLLLFWBGG. T97 U99 C98 D99 A99 B97 K99 F99 L99 G99 
13 11 2	.......CCT.DUAAT.DUWBKKDFWBLLLFWBGG. T97 C98 D99 U98 A99 B97 K99 F99 L99 G99 
13 10 3	U.....UCCT.DAABT.D.WBKKDFWBLLLFW.GG. B96 D99 C98 T97 F99 K99 L99 G99 
14 14 0	..BT..CCBT..U.BAA.UW.KKDFWLLLDFWGG.D U98 T98 D97 C97 A97 B94 K97 F99 L98 G98 
14 14 0	..BT..CCBT..U.BAA.UWKK.DFWLLLDFW.GGD U98 T98 D97 C97 A97 B94 K98 F99 L98 G97 
14 14 0	..BT..CCBT..UWBAA.UW.KKDFWLLLDF..GGD U98 T98 D97 C97 A97 W99 B94 K99 F99 L98 G99 
14 14 0	..BT..CCBT..U.B.AAUW.KKDFWLLLDFW.GGD U98 T98 D97 C97 A96 B94 K99 F99 L98 G99 
