3 0 3	..GGOS..DFOSAADFO.T.DF..TVKKJJ.VIII. G98 
10 6 4	GG.FO...DFO.AADFOS.VD..STVKKJJT..III G98 S98 F99 T99 V99 I99 
11 7 4	GGDF....DFOSAADFOSTV..O.TVKKJJ...III G98 O99 S99 D99 F99 V99 I99 
11 7 4	..DGG...DFO.AADFOS.V.FOSTVKKJJTIII.. G99 O99 S98 D99 T99 V99 I99 
11 7 4	..DGG...DFOSAADFOS.V.FO.TVKKJJT..III G99 O99 S99 D99 T99 V99 I99 
11 7 4	GG.F....DFO.AADFOS.VD.OSTVKKJJT..III G98 O99 S98 F99 T99 V99 I99 
11 7 4	..DFGG..DFOSAADFOSTV..O.TVKKJJ.III.. G98 O99 S99 D99 F99 V99 I99 
11 7 4	.GGF....DFO.AADFOS.VD.OSTVKKJJTIII.. G99 O99 S98 F99 T99 V99 I99 
11 7 4	GGDF....DFO.AADFOS....OSTVKKJJTV.III G98 O99 S98 D99 F99 T99 I99 
11 7 4	GGD.....DFO.AADFOS.V.FOSTVKKJJTIII.. G98 O99 S98 D99 T99 V99 I99 
11 7 4	GGDF....DFOSAADFOS....O.TVKKJJTV.III G98 O99 S99 D99 F99 T99 I99 
11 7 4	..DFGG..DFOSAADFOS....O.TVKKJJTV.III G98 O99 S99 D99 F99 T99 I99 
11 7 4	..DFGG..DFO.AADFOSTV..OSTVKKJJ.III.. G98 O99 S98 D99 F99 V99 I99 
11 7 4	.GGF....DFOSAADFOS.VD.O.TVKKJJT..III G99 O99 S99 F99 T99 V99 I99 
11 7 4	..DFGG..DFOSAADFOS.V..O.TVKKJJT.III. G98 O99 S99 D99 F99 T99 V99 
11 7 4	..D.GG..DFOSAADFOS.V.FO.TVKKJJTIII.. G98 O99 S99 D99 T99 V99 I99 
11 7 4	GGDF....DFO.AADFOSTV..OSTVKKJJIII... G98 O99 S98 D99 F99 V99 I98 
11 7 4	GGDF....DFO.AADFOS.V..OSTVKKJJT.III. G98 O99 S98 D99 F99 T99 V99 
11 7 4	.GGF....DFOSAADFOS.VD.O.TVKKJJTIII.. G99 O99 S99 F99 T99 V99 I99 
11 7 4	..DFGG..DFOSAADFOSTV..O.TVKKJJ...III G98 O99 S99 D99 F99 V99 I99 
11 7 4	GGDF....DFO.AADFOSTV..OSTVKKJJ...III G98 O99 S98 D99 F99 V99 I99 
11 7 4	...FGG..DFO.AADFOS.VD.OSTVKKJJT..III G98 O99 S98 F99 T99 V99 I99 
11 7 4	...FGG..DFO.AADFOS.VD.OSTVKKJJTIII.. G98 O99 S98 F99 T99 V99 I99 
11 7 4	GGDFO...DFO.AADFOS.V...STVKKJJT..III G98 S98 D99 F99 T99 V99 I99 
11 7 4	GGDFO...DFOSAADFOS.V....TVKKJJTIII.. G98 S99 D99 F99 T99 V99 I99 
11 7 4	GGDF....DFOSAADFOS.V..O.TVKKJJT.III. G98 O99 S99 D99 F99 T99 V99 
11 7 4	..DFGG..DFO.AADFOSTV..OSTVKKJJIII... G98 O99 S98 D99 F99 V99 I98 
11 7 4	..D.GG..DFOSAADFOS.V.FO.TVKKJJT..III G98 O99 S99 D99 T99 V99 I99 
11 7 4	GG.F....DFOSAADFOS.VD.O.TVKKJJT..III G98 O99 S99 F99 T99 V99 I99 
11 7 4	..DGG...DFO.AADFOS.V.FOSTVKKJJT..III G99 O99 S98 D99 T99 V99 I99 
11 7 4	..DFGG..DFO.AADFOS....OSTVKKJJTV.III G98 O99 S98 D99 F99 T99 I99 
11 7 4	GGD.....DFO.AADFOS.V.FOSTVKKJJT..III G98 O99 S98 D99 T99 V99 I99 
11 7 4	...FGG..DFOSAADFOS.VD.O.TVKKJJT..III G98 O99 S99 F99 T99 V99 I99 
11 7 4	GGD.....DFOSAADFOS.V.FO.TVKKJJTIII.. G98 O99 S99 D99 T99 V99 I99 
11 7 4	..D.GG..DFO.AADFOS.V.FOSTVKKJJT..III G98 O99 S98 D99 T99 V99 I99 
11 7 4	GG.F....DFOSAADFOS.VD.O.TVKKJJTIII.. G98 O99 S99 F99 T99 V99 I99 
11 7 4	GGD.....DFOSAADFOS.V.FO.TVKKJJT..III G98 O99 S99 D99 T99 V99 I99 
11 7 4	..DFGG..DFO.AADFOS.V..OSTVKKJJT.III. G98 O99 S98 D99 F99 T99 V99 
11 7 4	..DFGG..DFOSAADFOSTV..O.TVKKJJIII... G98 O99 S99 D99 F99 V99 I98 
11 7 4	...FGG..DFOSAADFOS.VD.O.TVKKJJTIII.. G98 O99 S99 F99 T99 V99 I99 
11 7 4	..DFGG..DFO.AADFOSTV..OSTVKKJJ...III G98 O99 S98 D99 F99 V99 I99 
11 7 4	GG.F....DFO.AADFOS.VD.OSTVKKJJTIII.. G98 O99 S98 F99 T99 V99 I99 
11 7 4	GGDF....DFOSAADFOSTV..O.TVKKJJ.III.. G98 O99 S99 D99 F99 V99 I99 
11 7 4	..D.GG..DFO.AADFOS.V.FOSTVKKJJTIII.. G98 O99 S98 D99 T99 V99 I99 
11 7 4	GGDFO...DFO.AADFOS.V...STVKKJJTIII.. G98 S98 D99 F99 T99 V99 I99 
11 7 4	.GGF....DFO.AADFOS.VD.OSTVKKJJT..III G99 O99 S98 F99 T99 V99 I99 
11 7 4	GGDF....DFOSAADFOSTV..O.TVKKJJIII... G98 O99 S99 D99 F99 V99 I98 
11 7 4	..DGG...DFOSAADFOS.V.FO.TVKKJJTIII.. G99 O99 S99 D99 T99 V99 I99 
11 7 4	GGDF....DFO.AADFOSTV..OSTVKKJJ.III.. G98 O99 S98 D99 F99 V99 I99 
11 7 4	GGDFO...DFOSAADFOS.V....TVKKJJT..III G98 S99 D99 F99 T99 V99 I99 
12 8 4	GGDF....DFOSAADFOS.V..O.TVKKJJTIII.. G98 O99 S99 D99 F99 T99 V99 I99 
12 8 4	..DFGG..DFOSAADFOS.V..O.TVKKJJT..III G98 O99 S99 D99 F99 T99 V99 I99 
12 8 4	..DFGG..DFO.AADFOS.V..OSTVKKJJTIII.. G98 O99 S98 D99 F99 T99 V99 I99 
12 8 4	..DFGG..DFO.AADFOS.V..OSTVKKJJT..III G98 O99 S98 D99 F99 T99 V99 I99 
12 8 4	GGDF....DFOSAADFOS.V..O.TVKKJJT..III G98 O99 S99 D99 F99 T99 V99 I99 
12 8 4	GGDF....DFO.AADFOS.V..OSTVKKJJT..III G98 O99 S98 D99 F99 T99 V99 I99 
12 8 4	GGDF....DFO.AADFOS.V..OSTVKKJJTIII.. G98 O99 S98 D99 F99 T99 V99 I99 
12 8 4	..DFGG..DFOSAADFOS.V..O.TVKKJJTIII.. G98 O99 S99 D99 F99 T99 V99 I99 
